"Journal Data Filtered By:  Selected Categories: PERIPHERAL VASCULAR DISEASE Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Angiologia","0003-3170","1695-2987","PERIPHERAL VASCULAR DISEASE - ESCI","91","n/a","n/a","0.01","55.29"%,
"Italian Journal of Vascular and Endovascular Surgery","1824-4777","1827-1847","PERIPHERAL VASCULAR DISEASE - ESCI","54","n/a","n/a","0.05","0"%,
"Gefasschirurgie","0948-7034","1434-3932","PERIPHERAL VASCULAR DISEASE - ESCI","241","n/a","n/a","0.11","15.42"%,
"Acta Angiologica","1234-950X","1644-3276","PERIPHERAL VASCULAR DISEASE - ESCI","41","n/a","n/a","0.05","100"%,
"Phlebolymphology","1286-0107","1286-0107","PERIPHERAL VASCULAR DISEASE - ESCI","72","n/a","n/a","0.05","0"%,
"Acta Phlebologica","1593-232X","1827-1766","PERIPHERAL VASCULAR DISEASE - ESCI","38","n/a","n/a","0.05","0"%,
"Arterial Hypertension","2449-6170","2449-6162","PERIPHERAL VASCULAR DISEASE - ESCI","53","n/a","n/a","0.03","100"%,
"European Stroke Journal","2396-9873","2396-9881","PERIPHERAL VASCULAR DISEASE - ESCI","758","n/a","n/a","1","28.35"%,
"Annals of Vascular Diseases","1881-641X","1881-6428","PERIPHERAL VASCULAR DISEASE - ESCI","691","n/a","n/a","0.17","98.54"%,
"Current Hypertension Reviews","1573-4021","1875-6506","PERIPHERAL VASCULAR DISEASE - ESCI","429","n/a","n/a","0.36","0"%,
"Stroke Research and Treatment","2090-8105","2042-0056","PERIPHERAL VASCULAR DISEASE - ESCI","834","n/a","n/a","0.57","100"%,
"Cerebrovascular Diseases Extra","1664-5456","1664-5456","PERIPHERAL VASCULAR DISEASE - ESCI","372","n/a","n/a","0.57","100"%,
"Integrated Blood Pressure Control","1178-7104","1178-7104","PERIPHERAL VASCULAR DISEASE - ESCI","304","n/a","n/a","0.49","100"%,
"International Journal of Angiology","1061-1711","1615-5939","PERIPHERAL VASCULAR DISEASE - ESCI","724","n/a","n/a","0.22","0"%,
"Vascular Health and Risk Management","1176-6344","1178-2048","PERIPHERAL VASCULAR DISEASE - ESCI","3,160","n/a","n/a","0.61","100"%,
"International Journal of Vascular Medicine","2090-2824","2090-2832","PERIPHERAL VASCULAR DISEASE - ESCI","490","n/a","n/a","0.23","100"%,
"Clinica e Investigacion en Arteriosclerosis","0214-9168","1578-1879","PERIPHERAL VASCULAR DISEASE - ESCI","291","n/a","n/a","0.31","5.66"%,
"High Blood Pressure & Cardiovascular Prevention","1120-9879","1179-1985","PERIPHERAL VASCULAR DISEASE - ESCI","721","n/a","n/a","0.46","7.36"%,
"PHLEBOLOGIE","0939-978X","2567-5826","PERIPHERAL VASCULAR DISEASE - ESCI","227","n/a","n/a","0.12","0.83"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
