"Journal Data Filtered By:  Selected Categories: TRANSPLANTATION Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","1053-2498","1557-3117","TRANSPLANTATION - SCIE","15,107","10.247","Q1","2.34","4.94"%,
"AMERICAN JOURNAL OF TRANSPLANTATION","1600-6135","1600-6143","TRANSPLANTATION - SCIE","32,841","8.086","Q1","2.4","11.12"%,
"NEPHROLOGY DIALYSIS TRANSPLANTATION","0931-0509","1460-2385","TRANSPLANTATION - SCIE","29,250","5.992","Q1","1.55","16.78"%,
"LIVER TRANSPLANTATION","1527-6465","1527-6473","TRANSPLANTATION - SCIE","11,872","5.799","Q1","1.51","8.5"%,
"BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION","1083-8791","1523-6536","TRANSPLANTATION - SCIE","17,149","5.742","Q1","1.22","80.8"%,
"BONE MARROW TRANSPLANTATION","0268-3369","1476-5365","TRANSPLANTATION - SCIE","16,801","5.483","Q1","1.01","8.67"%,
"TRANSPLANTATION","0041-1337","1534-6080","TRANSPLANTATION - SCIE","27,214","4.939","Q2","1.35","4.09"%,
"CELL TRANSPLANTATION","0963-6897","1555-3892","TRANSPLANTATION - SCIE","7,541","4.064","Q2","0.97","100"%,
"Transplantation Reviews","0955-470X","N/A","TRANSPLANTATION - SCIE","1,110","3.943","Q2","0.83","10.34"%,
"XENOTRANSPLANTATION","0908-665X","1399-3089","TRANSPLANTATION - SCIE","2,129","3.907","Q2","1.01","10.14"%,
"TRANSPLANT INTERNATIONAL","0934-0874","1432-2277","TRANSPLANTATION - SCIE","5,770","3.782","Q2","1.2","18.02"%,
"STEM CELLS AND DEVELOPMENT","1547-3287","1557-8534","TRANSPLANTATION - SCIE","9,332","3.272","Q2","0.91","6.16"%,
"ARTIFICIAL ORGANS","0160-564X","1525-1594","TRANSPLANTATION - SCIE","5,333","3.094","Q3","0.84","10.81"%,
"ASAIO JOURNAL","1058-2916","1538-943X","TRANSPLANTATION - SCIE","4,888","2.872","Q3","0.85","1.57"%,
"CLINICAL TRANSPLANTATION","0902-0063","1399-0012","TRANSPLANTATION - SCIE","6,281","2.863","Q3","0.88","3.57"%,
"Current Opinion in Organ Transplantation","1087-2418","1531-7013","TRANSPLANTATION - SCIE","2,197","2.64","Q3","0.6","1.02"%,
"Transplant Infectious Disease","1398-2273","1399-3062","TRANSPLANTATION - SCIE","3,584","2.228","Q3","0.56","3.61"%,
"JOURNAL OF ARTIFICIAL ORGANS","1434-7229","1619-0904","TRANSPLANTATION - SCIE","1,095","1.731","Q3","0.49","8.93"%,
"TRANSPLANT IMMUNOLOGY","0966-3274","1878-5492","TRANSPLANTATION - SCIE","1,367","1.708","Q4","0.46","3.92"%,
"INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS","0391-3988","1724-6040","TRANSPLANTATION - SCIE","2,422","1.595","Q4","0.39","4.76"%,
"Annals of Transplantation","1425-9524","N/A","TRANSPLANTATION - SCIE","1,328","1.53","Q4","0.47","0"%,
"PEDIATRIC TRANSPLANTATION","1397-3142","1399-3046","TRANSPLANTATION - SCIE","3,830","1.502","Q4","0.54","4.43"%,
"Progress in Transplantation","1526-9248","2164-6708","TRANSPLANTATION - SCIE","1,005","1.187","Q4","0.38","1"%,
"TRANSPLANTATION PROCEEDINGS","0041-1345","1873-2623","TRANSPLANTATION - SCIE","13,635","1.066","Q4","0.3","6.3"%,
"Experimental and Clinical Transplantation","1304-0855","2146-8427","TRANSPLANTATION - SCIE","1,443","0.945","Q4","0.29","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
