"Journal Data Filtered By:  Selected Categories: PRIMARY HEALTH CARE Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"BRITISH JOURNAL OF GENERAL PRACTICE","0960-1643","1478-5242","PRIMARY HEALTH CARE - SCIE","8,303","5.386","Q1","1.5","41.9"%,
"ANNALS OF FAMILY MEDICINE","1544-1709","1544-1717","PRIMARY HEALTH CARE - SCIE","6,770","5.166","Q1","2.16","0.48"%,
"AMERICAN FAMILY PHYSICIAN","0002-838X","1532-0650","PRIMARY HEALTH CARE - SCIE","9,415","3.292","Q1","1.15","0"%,
"CANADIAN FAMILY PHYSICIAN","0008-350X","1715-5258","PRIMARY HEALTH CARE - SCIE","4,641","3.275","Q1","0.95","0"%,
"PRIMARY CARE","0095-4543","1558-299X","PRIMARY HEALTH CARE - SCIE","1,726","2.907","Q2","0.76","0"%,
"npj Primary Care Respiratory Medicine","N/A","2055-1010","PRIMARY HEALTH CARE - SCIE","1,079","2.871","Q2","1.03","100"%,
"Journal of the American Board of Family Medicine","1557-2625","1558-7118","PRIMARY HEALTH CARE - SCIE","4,215","2.657","Q2","1.29","0.32"%,
"SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE","0281-3432","1502-7724","PRIMARY HEALTH CARE - SCIE","1,842","2.581","Q2","0.92","100"%,
"BMC Family Practice","N/A","1471-2296","PRIMARY HEALTH CARE - SCIE","5,727","2.497","Q2","0.98","100"%,
"Primary Care Diabetes","1751-9918","1878-0210","PRIMARY HEALTH CARE - SCIE","1,335","2.459","Q3","0.74","5.53"%,
"FAMILY PRACTICE","0263-2136","1460-2229","PRIMARY HEALTH CARE - SCIE","5,336","2.267","Q3","0.83","17.34"%,
"PHYSICIAN AND SPORTSMEDICINE","0091-3847","2326-3660","PRIMARY HEALTH CARE - SCIE","1,918","2.241","Q3","0.75","1.16"%,
"European Journal of General Practice","1381-4788","1751-1402","PRIMARY HEALTH CARE - SCIE","1,136","1.904","Q3","1.2","100"%,
"FAMILY MEDICINE","0742-3225","1938-3800","PRIMARY HEALTH CARE - SCIE","3,226","1.756","Q4","0.78","0"%,
"Primary Health Care Research and Development","1463-4236","1477-1128","PRIMARY HEALTH CARE - SCIE","1,013","1.458","Q4","0.65","79.42"%,
"Australian Journal of Primary Health","1448-7527","1836-7399","PRIMARY HEALTH CARE - SCIE","1,185","1.307","Q4","0.54","15.02"%,
"Atencion Primaria","0212-6567","1578-1275","PRIMARY HEALTH CARE - SCIE","1,451","1.137","Q4","0.41","100"%,
"JOURNAL OF FAMILY PRACTICE","0094-3509","N/A","PRIMARY HEALTH CARE - SCIE","2,255","0.493","Q4","0.17","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
