"Journal Data Filtered By:  Selected Categories: MEDICINE, RESEARCH & EXPERIMENTAL Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"NATURE MEDICINE","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","114,401","53.44","Q1","9.96","3.21"%,
"Science Translational Medicine","1946-6234","1946-6242","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","45,509","17.956","Q1","4.04","3.14"%,
"JOURNAL OF CLINICAL INVESTIGATION","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","132,296","14.808","Q1","3.78","8.88"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","0022-1007","1540-9538","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","74,803","14.307","Q1","3.42","96.77"%,
"MOLECULAR ASPECTS OF MEDICINE","0098-2997","1872-9452","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","8,136","14.235","Q1","1.68","24.31"%,
"Annual Review of Medicine","0066-4219","1545-326X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7,553","13.739","Q1","2.08","1.04"%,
"EMBO Molecular Medicine","1757-4676","1757-4684","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","11,474","12.137","Q1","2.89","88.37"%,
"TRENDS IN MOLECULAR MEDICINE","1471-4914","1471-499X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","13,213","11.951","Q1","1.38","10.41"%,
"Theranostics","1838-7640","1838-7640","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","23,558","11.556","Q1","2.76","100"%,
"Clinical and Translational Medicine","2001-1326","2001-1326","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","2,201","11.492","Q1","1.54","100"%,
"MOLECULAR THERAPY","1525-0016","1525-0024","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","24,333","11.454","Q1","2.73","87.43"%,
"Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology","1939-5116","1939-0041","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3,763","9.182","Q1","0.97","12.99"%,
