"Journal Data Filtered By:  Selected Categories: ALLERGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"ALLERGY","0105-4538","1398-9995","ALLERGY - SCIE","25,131","13.146","Q1","2.11","22.98"%,
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","0091-6749","1097-6825","ALLERGY - SCIE","63,614","10.793","Q1","2.35","18.04"%,
"Journal of Allergy and Clinical Immunology-In Practice","2213-2198","2213-2201","ALLERGY - SCIE","9,255","8.861","Q1","1.55","9.93"%,
"CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY","1080-0549","1559-0267","ALLERGY - SCIE","4,546","8.667","Q1","1.27","7.84"%,
"CONTACT DERMATITIS","0105-1873","1600-0536","ALLERGY - SCIE","7,973","6.6","Q1","1.21","13.98"%,
"PEDIATRIC ALLERGY AND IMMUNOLOGY","0905-6157","1399-3038","ALLERGY - SCIE","5,778","6.377","Q1","1.53","13.39"%,
"ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY","1081-1206","1534-4436","ALLERGY - SCIE","10,809","6.347","Q1","0.92","10.32"%,
"Clinical and Translational Allergy","N/A","2045-7022","ALLERGY - SCIE","1,661","5.871","Q2","0.97","100"%,
"ALLERGOLOGY INTERNATIONAL","1323-8930","1440-1592","ALLERGY - SCIE","3,122","5.836","Q2","0.9","100"%,
"Allergy Asthma & Immunology Research","2092-7355","2092-7363","ALLERGY - SCIE","2,345","5.764","Q2","0.98","52.85"%,
"CLINICAL AND EXPERIMENTAL ALLERGY","0954-7894","1365-2222","ALLERGY - SCIE","12,339","5.018","Q2","1.01","21.14"%,
"CURRENT ALLERGY AND ASTHMA REPORTS","1529-7322","1534-6315","ALLERGY - SCIE","3,395","4.806","Q2","0.62","6.6"%,
"JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY","1018-9068","1698-0808","ALLERGY - SCIE","2,703","4.333","Q2","0.55","0"%,
"Journal of Asthma and Allergy","1178-6965","1178-6965","ALLERGY - SCIE","882","4.258","Q2","0.75","100"%,
"World Allergy Organization Journal","1939-4551","1939-4551","ALLERGY - SCIE","2,492","4.084","Q3","0.69","100"%,
"IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA","0889-8561","1557-8607","ALLERGY - SCIE","2,188","3.479","Q3","0.73","3.52"%,
"Allergy Asthma and Clinical Immunology","1710-1492","1710-1492","ALLERGY - SCIE","1,784","3.406","Q3","0.47","100"%,
"Current Opinion in Allergy and Clinical Immunology","1528-4050","1473-6322","ALLERGY - SCIE","3,557","3.142","Q3","0.5","0.83"%,
"INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY","1018-2438","1423-0097","ALLERGY - SCIE","5,908","2.749","Q3","0.67","6.85"%,
"ALLERGY AND ASTHMA PROCEEDINGS","1088-5412","1539-6304","ALLERGY - SCIE","2,428","2.587","Q3","0.67","0"%,
"JOURNAL OF ASTHMA","0277-0903","1532-4303","ALLERGY - SCIE","5,004","2.515","Q3","0.56","7.5"%,
"ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY","0125-877X","2228-8694","ALLERGY - SCIE","1,359","2.31","Q4","0.27","0"%,
"Postepy Dermatologii i Alergologii","1642-395X","N/A","ALLERGY - SCIE","1,308","1.837","Q4","0.39","100"%,
"ALLERGOLOGIA ET IMMUNOPATHOLOGIA","0301-0546","1578-1267","ALLERGY - SCIE","1,543","1.667","Q4","0.32","0"%,
"Iranian Journal of Allergy Asthma and Immunology","1735-1502","1735-5249","ALLERGY - SCIE","900","1.464","Q4","0.25","100"%,
"Pediatric Allergy Immunology and Pulmonology","2151-321X","2151-3228","ALLERGY - SCIE","376","1.349","Q4","0.26","5.15"%,
"Revue Francaise d Allergologie","1877-0320","N/A","ALLERGY - SCIE","309","0.288","Q4","0.05","0.93"%,
"ALLERGOLOGIE","0344-5062","0344-5062","ALLERGY - SCIE","118","0.191","Q4","0.03","0.63"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
