"Journal Data Filtered By:  Selected Categories: DERMATOLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Dermatopathology","2296-3529","2296-3529","DERMATOLOGY - ESCI","82","n/a","n/a","0.14","100"%,
"Turkderm-Turkish Archives of Dermatology and Venerology","2717-6398","2651-5164","DERMATOLOGY - ESCI","152","n/a","n/a","0.07","100"%,
"AKTUELLE DERMATOLOGIE","0340-2541","1438-938X","DERMATOLOGY - ESCI","84","n/a","n/a","0.05","0"%,
"Journal of Skin Cancer","2090-2905","2090-2913","DERMATOLOGY - ESCI","288","n/a","n/a","0.52","100"%,
"Przeglad Dermatologiczny","0033-2526","2084-9893","DERMATOLOGY - ESCI","148","n/a","n/a","0.15","100"%,
"Skin Appendage Disorders","2296-9160","2296-9195","DERMATOLOGY - ESCI","509","n/a","n/a","0.53","1.41"%,
"Actas Dermo-Sifiliograficas","0001-7310","1578-2190","DERMATOLOGY - ESCI","1,795","n/a","n/a","0.52","20.09"%,
"Case Reports in Dermatology","1662-6567","1662-6567","DERMATOLOGY - ESCI","517","n/a","n/a","0.35","100"%,
"Current Dermatology Reports","2162-4933","2162-4933","DERMATOLOGY - ESCI","347","n/a","n/a","0.38","6.31"%,
"Wound Practice and Research","1837-6304","2202-9729","DERMATOLOGY - ESCI","205","n/a","n/a","0.21","0"%,
"Psoriasis-Targets and Therapy","N/A","2230-326X","DERMATOLOGY - ESCI","269","n/a","n/a","0.88","100"%,
"Dermatologie in Beruf und Umwelt","1438-776X","1616-7090","DERMATOLOGY - ESCI","35","n/a","n/a","0.22","0"%,
"Dermatology Research and Practice","1687-6105","1687-6113","DERMATOLOGY - ESCI","610","n/a","n/a","0.57","100"%,
"Journal of Cutaneous Immunology and Allergy","N/A","2574-4593","DERMATOLOGY - ESCI","31","n/a","n/a","0.15","100"%,
"Journal of the Dermatology Nurses Association","1945-760X","1945-7618","DERMATOLOGY - ESCI","118","n/a","n/a","0.07","0"%,
"Clinical Cosmetic and Investigational Dentistry","1179-1357","1179-1357","DERMATOLOGY - ESCI","413","n/a","n/a","0.44","100"%,
"Egyptian Journal of Dermatology and Venereology","1110-6530","2314-7407","DERMATOLOGY - ESCI","12","n/a","n/a","0.09","0"%,
"Journal of Dermatology & Dermatologic Surgery-JDDS","2352-2410","2352-2429","DERMATOLOGY - ESCI","111","n/a","n/a","0.16","100"%,
"Acta Dermatovenerologica Alpina Pannonica et Adriatica","1318-4458","1581-2979","DERMATOLOGY - ESCI","424","n/a","n/a","0.36","0"%,
"Turk Dermatoloji Dergisi-Turkish Journal of Dermatology","1307-7635","1308-5255","DERMATOLOGY - ESCI","66","n/a","n/a","0.09","1.14"%,
"Dermatology Reports","2036-7392","2036-7406","DERMATOLOGY - ESCI","148","n/a","n/a","0.14","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
