"Journal Data Filtered By:  Selected Categories: IMMUNOLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Antibodies","N/A","2073-4468","IMMUNOLOGY - ESCI","812","n/a","n/a","0.61","100"%,
"LymphoSign Journal-The Journal of Inherited Immune Disorders","2292-5937","2292-5945","IMMUNOLOGY - ESCI","31","n/a","n/a","0.04","2.13"%,
"Autoimmune Diseases","2090-0422","2090-0430","IMMUNOLOGY - ESCI","539","n/a","n/a","0.34","100"%,
"Immunopathologia Persa","2423-8015","2423-8015","IMMUNOLOGY - ESCI","63","n/a","n/a","0.1","100"%,
"Autoimmunity Highlights","2038-0305","2038-3274","IMMUNOLOGY - ESCI","326","n/a","n/a","0.39","94.87"%,
"Alergia Astma Immunologia","1427-3101","1427-3101","IMMUNOLOGY - ESCI","55","n/a","n/a","0.04","0"%,
"ImmunoTargets and Therapy","N/A","2253-1556","IMMUNOLOGY - ESCI","501","n/a","n/a","1.03","100"%,
"Case Reports in Immunology","2090-6609","2090-6617","IMMUNOLOGY - ESCI","81","n/a","n/a","0.23","100"%,
"AIMS Allergy and Immunology","2575-615X","2575-615X","IMMUNOLOGY - ESCI","19","n/a","n/a","0.06","100"%,
"Turkish Journal of Immunology","1301-109X","2147-8325","IMMUNOLOGY - ESCI","24","n/a","n/a","0.05","0"%,
"International Journal of Inflammation","2090-8040","2042-0099","IMMUNOLOGY - ESCI","892","n/a","n/a","0.62","100"%,
"Clinical and Experimental Vaccine Research","2287-3651","2287-366X","IMMUNOLOGY - ESCI","442","n/a","n/a","0.47","100"%,
"Journal of Cutaneous Immunology and Allergy","N/A","2574-4593","IMMUNOLOGY - ESCI","31","n/a","n/a","0.15","100"%,
"American Journal of Clinical and Experimental Immunology","N/A","2164-7712","IMMUNOLOGY - ESCI","339","n/a","n/a","0.46","0"%,
"Vaccine: X","2590-1362","2590-1362","IMMUNOLOGY - ESCI","91","n/a","n/a","0.61","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
