"Journal Data Filtered By:  Selected Categories: REHABILITATION Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Journal of Physiotherapy","1836-9553","1836-9561","REHABILITATION - SCIE","2,186","7","Q1","1.99","100"%,
"Annals of Physical and Rehabilitation Medicine","1877-0657","1877-0665","REHABILITATION - SCIE","2,162","4.919","Q1","1.33","3.16"%,
"JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY","0190-6011","1938-1344","REHABILITATION - SCIE","9,650","4.751","Q1","1.51","0.81"%,
"Journal of NeuroEngineering and Rehabilitation","N/A","1743-0003","REHABILITATION - SCIE","7,017","4.262","Q1","1.24","100"%,
"ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION","0003-9993","1532-821X","REHABILITATION - SCIE","30,690","3.966","Q1","1.43","3.16"%,
"NEUROREHABILITATION AND NEURAL REPAIR","1545-9683","1552-6844","REHABILITATION - SCIE","6,710","3.919","Q1","1.53","7.36"%,
"IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING","1534-4320","1558-0210","REHABILITATION - SCIE","9,404","3.802","Q1","1.53","0.12"%,
"Journal of Neurologic Physical Therapy","1557-0576","1557-0584","REHABILITATION - SCIE","1,491","3.649","Q1","1.31","4.94"%,
"SUPPORTIVE CARE IN CANCER","0941-4355","1433-7339","REHABILITATION - SCIE","18,289","3.603","Q1","1.12","14.6"%,
"CLINICAL REHABILITATION","0269-2155","1477-0873","REHABILITATION - SCIE","8,691","3.477","Q1","1.39","14.84"%,
"Journal of Geriatric Physical Therapy","1539-8412","2152-0895","REHABILITATION - SCIE","1,487","3.381","Q1","1.29","2.17"%,
"Brazilian Journal of Physical Therapy","1413-3555","1809-9246","REHABILITATION - SCIE","2,292","3.377","Q1","1.07","0"%,
"Physiotherapy","0031-9406","1873-1465","REHABILITATION - SCIE","3,356","3.358","Q1","1.16","9.57"%,
"Pediatric Physical Therapy","0898-5669","1538-005X","REHABILITATION - SCIE","1,614","3.049","Q1","0.62","0"%,
"DISABILITY AND REHABILITATION","0963-8288","1464-5165","REHABILITATION - SCIE","14,882","3.033","Q1","1.38","12.09"%,
"Physical Therapy & Rehabilitation Journal","0031-9023","1538-6724","REHABILITATION - SCIE","15,751","3.021","Q1","1.23","10.41"%,
"INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS","1368-2822","1460-6984","REHABILITATION - SCIE","3,291","3.02","Q1","1.32","12.55"%,
"ADAPTED PHYSICAL ACTIVITY QUARTERLY","0736-5829","1543-2777","REHABILITATION - SCIE","1,651","2.929","Q2","0.98","0"%,
"JOURNAL OF REHABILITATION MEDICINE","1650-1977","1651-2081","REHABILITATION - SCIE","6,773","2.912","Q2","0.98","100"%,
"European Journal of Physical and Rehabilitation Medicine","1973-9087","1973-9095","REHABILITATION - SCIE","2,917","2.874","Q2","1.22","0"%,
"APHASIOLOGY","0268-7038","1464-5041","REHABILITATION - SCIE","4,157","2.773","Q2","1.03","5"%,
"SPINAL CORD","1362-4393","1476-5624","REHABILITATION - SCIE","7,541","2.772","Q2","0.88","8.42"%,
"JOURNAL OF HEAD TRAUMA REHABILITATION","0885-9701","1550-509X","REHABILITATION - SCIE","5,426","2.71","Q2","1.14","0.75"%,
"Scandinavian Journal of Occupational Therapy","1103-8128","1651-2014","REHABILITATION - SCIE","1,671","2.611","Q2","1.05","22.91"%,
"Disability and Health Journal","1936-6574","1876-7583","REHABILITATION - SCIE","2,139","2.554","Q2","0.99","4.35"%,
"JOURNAL OF FLUENCY DISORDERS","0094-730X","1873-801X","REHABILITATION - SCIE","1,497","2.538","Q2","1.34","4.17"%,
"Musculoskeletal Science and Practice","2468-7812","2468-7812","REHABILITATION - SCIE","953","2.52","Q2","1.1","5.2"%,
"EUROPEAN JOURNAL OF CANCER CARE","0961-5423","1365-2354","REHABILITATION - SCIE","4,547","2.52","Q2","1","10.2"%,
"International Journal of Speech-Language Pathology","1754-9507","1754-9515","REHABILITATION - SCIE","1,853","2.484","Q2","1.3","6.99"%,
