"Journal Data Filtered By:  Selected Categories: GASTROENTEROLOGY & HEPATOLOGY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"JGH Open","2397-9070","2397-9070","GASTROENTEROLOGY & HEPATOLOGY - ESCI","408","n/a","n/a","0.31","100"%,
"ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery","0102-6720","2317-6326","GASTROENTEROLOGY & HEPATOLOGY - ESCI","964","n/a","n/a","0.32","100"%,
"Gastroenterologe","1861-9681","1861-969X","GASTROENTEROLOGY & HEPATOLOGY - ESCI","22","n/a","n/a","0.02","3.47"%,
"Clinical Endoscopy","2234-2400","2234-2443","GASTROENTEROLOGY & HEPATOLOGY - ESCI","1,588","n/a","n/a","0.41","100"%,
"Intestinal Research","1598-9100","1598-9100","GASTROENTEROLOGY & HEPATOLOGY - ESCI","1,071","n/a","n/a","0.56","100"%,
"Gastrointestinal Tumors","2296-3774","2296-3766","GASTROENTEROLOGY & HEPATOLOGY - ESCI","265","n/a","n/a","0.24","100"%,
"Journal of the Pancreas","1590-8577","1590-8577","GASTROENTEROLOGY & HEPATOLOGY - ESCI","1,128","n/a","n/a","0.05","0"%,
"ACG Case Reports Journal","N/A","2326-3253","GASTROENTEROLOGY & HEPATOLOGY - ESCI","540","n/a","n/a","0.13","100"%,
"Annals of Coloproctology","2287-9714","2287-9722","GASTROENTEROLOGY & HEPATOLOGY - ESCI","467","n/a","n/a","0.41","78.34"%,
"BMJ Open Gastroenterology","2054-4774","2054-4774","GASTROENTEROLOGY & HEPATOLOGY - ESCI","698","n/a","n/a","0.51","100"%,
"Gastroenterology Insights","2036-7414","2036-7422","GASTROENTEROLOGY & HEPATOLOGY - ESCI","123","n/a","n/a","0.5","100"%,
"Gastroenterology Research","1918-2805","1918-2813","GASTROENTEROLOGY & HEPATOLOGY - ESCI","631","n/a","n/a","0.27","97.01"%,
