"Journal Data Filtered By:  Selected Categories: HEALTH POLICY & SERVICES Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Health Systems","2047-6965","2047-6973","HEALTH POLICY & SERVICES - ESCI","220","n/a","n/a","0.39","1.45"%,
"Zeitschrift fur Evidenz Fortbildung und Qualitaet im Gesundheitswesen","1865-9217","2212-0289","HEALTH POLICY & SERVICES - ESCI","669","n/a","n/a","0.33","14.93"%,
"Health Care Manager","1525-5794","1550-512X","HEALTH POLICY & SERVICES - ESCI","451","n/a","n/a","0.3","0"%,
"Pharmacoeconomics-Open","2509-4262","2509-4254","HEALTH POLICY & SERVICES - ESCI","340","n/a","n/a","0.66","100"%,
"Learning Health Systems","2379-6146","2379-6146","HEALTH POLICY & SERVICES - ESCI","147","n/a","n/a","0.78","100"%,
"Journal of Cancer Policy","N/A","2213-5383","HEALTH POLICY & SERVICES - ESCI","303","n/a","n/a","0.48","12.28"%,
"Farmaceuticos Comunitarios","1885-8619","2173-9218","HEALTH POLICY & SERVICES - ESCI","14","n/a","n/a","0.04","100"%,
"Journal of Integrated Care","1476-9018","2042-8685","HEALTH POLICY & SERVICES - ESCI","318","n/a","n/a","0.4","6.78"%,
"Journal of Health Management","0972-0634","0973-0729","HEALTH POLICY & SERVICES - ESCI","323","n/a","n/a","0.18","13.71"%,
"Leadership in Health Services","1751-1879","1751-1887","HEALTH POLICY & SERVICES - ESCI","491","n/a","n/a","0.51","3.74"%,
"Journal of Healthcare Leadership","1179-3201","1179-3201","HEALTH POLICY & SERVICES - ESCI","184","n/a","n/a","0.64","100"%,
"Journal of Health Care Chaplaincy","0885-4726","1528-6916","HEALTH POLICY & SERVICES - ESCI","309","n/a","n/a","0.69","10.17"%,
"HOME HEALTH CARE SERVICES QUARTERLY","0162-1424","1545-0856","HEALTH POLICY & SERVICES - ESCI","412","n/a","n/a","0.36","1.67"%,
"Health Services Management Research","0951-4848","1758-1044","HEALTH POLICY & SERVICES - ESCI","396","n/a","n/a","0.49","5.68"%,
"Asia Pacific Journal of Health Management","1833-3818","1833-3818","HEALTH POLICY & SERVICES - ESCI","85","n/a","n/a","0.08","100"%,
"International Journal of Health Governance","2059-4631","2059-4631","HEALTH POLICY & SERVICES - ESCI","81","n/a","n/a","0.28","2.15"%,
"Revista de Gestao em Sistemas de Saude-RGSS","2316-3712","2316-3712","HEALTH POLICY & SERVICES - ESCI","27","n/a","n/a","0.03","100"%,
"Journal of Pharmaceutical Policy and Practice","N/A","2052-3211","HEALTH POLICY & SERVICES - ESCI","467","n/a","n/a","0.63","100"%,
"International Journal of Healthcare Management","2047-9700","2047-9719","HEALTH POLICY & SERVICES - ESCI","808","n/a","n/a","0.79","0.34"%,
"Health Services Research and Managerial Epidemiology","2333-3928","2333-3928","HEALTH POLICY & SERVICES - ESCI","177","n/a","n/a","0.5","100"%,
"International Journal of Human Rights in Health Care","2056-4902","2056-4902","HEALTH POLICY & SERVICES - ESCI","131","n/a","n/a","0.34","2.73"%,
"INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE","0952-6862","1758-6542","HEALTH POLICY & SERVICES - ESCI","1,337","n/a","n/a","0.4","0.45"%,
"International Journal of Pharmaceutical and Healthcare Marketing","1750-6123","1750-6131","HEALTH POLICY & SERVICES - ESCI","383","n/a","n/a","0.36","0"%,
"CLINICAL SUPERVISOR","0732-5223","1545-231X","HEALTH POLICY & SERVICES - ESCI","404","n/a","n/a","0.84","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
