"Journal Data Filtered By:  Selected Categories: NUTRITION & DIETETICS Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"BMC Nutrition","N/A","2055-0928","NUTRITION & DIETETICS - ESCI","681","n/a","n/a","0.32","100"%,
"RBONE-Revista Brasileira de Obesidade Nutricao e Emagrecimento","1981-9919","1981-9919","NUTRITION & DIETETICS - ESCI","65","n/a","n/a","0.03","100"%,
"Clinical Nutrition ESPEN","2405-4577","2405-4577","NUTRITION & DIETETICS - ESCI","1,458","n/a","n/a","0.51","8.05"%,
"AKTUELLE ERNAHRUNGSMEDIZIN","0341-0501","1438-9916","NUTRITION & DIETETICS - ESCI","184","n/a","n/a","0.13","1.11"%,
"Revista Chilena de Nutricion","0717-7518","0717-7518","NUTRITION & DIETETICS - ESCI","505","n/a","n/a","0.12","96.8"%,
"Journal of Nutritional Science","2048-6790","N/A","NUTRITION & DIETETICS - ESCI","1,475","n/a","n/a","0.56","100"%,
"Current Nutrition & Food Science","1573-4013","2212-3881","NUTRITION & DIETETICS - ESCI","623","n/a","n/a","0.17","0"%,
"Nutrition and Metabolic Insights","1178-6388","1178-6388","NUTRITION & DIETETICS - ESCI","233","n/a","n/a","0.28","100"%,
"Current Developments in Nutrition","2475-2991","2475-2991","NUTRITION & DIETETICS - ESCI","999","n/a","n/a","0.6","100"%,
"Nutrition and Dietary Supplements","1179-1489","1179-1489","NUTRITION & DIETETICS - ESCI","112","n/a","n/a","0.22","100"%,
"Journal of Nutrition and Metabolism","2090-0724","2090-0732","NUTRITION & DIETETICS - ESCI","1,542","n/a","n/a","0.56","100"%,
"CAHIERS DE NUTRITION ET DE DIETETIQUE","0007-9960","0007-9960","NUTRITION & DIETETICS - ESCI","131","n/a","n/a","0.11","0"%,
"Nutricion Clinica y Dietetica Hospitalaria","0211-6057","1989-208X","NUTRITION & DIETETICS - ESCI","240","n/a","n/a","0.07","0"%,
"South African Journal of Clinical Nutrition","1607-0658","2221-1268","NUTRITION & DIETETICS - ESCI","430","n/a","n/a","0.27","53.13"%,
"Revista Espanola de Nutricion Humana y Dietetica","2173-1292","2174-5145","NUTRITION & DIETETICS - ESCI","647","n/a","n/a","0.12","100"%,
"Mediterranean Journal of Nutrition and Metabolism","1973-798X","1973-7998","NUTRITION & DIETETICS - ESCI","265","n/a","n/a","0.19","0"%,
"Jurnal Gizi dan Pangan","1978-1059","2407-0920","NUTRITION & DIETETICS - ESCI","49","n/a","n/a","0.06","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
