"Journal Data Filtered By:  Selected Categories: HEALTH CARE SCIENCES & SERVICES Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"AIMS Public Health","2327-8994","2327-8994","HEALTH CARE SCIENCES & SERVICES - ESCI","369","n/a","n/a","0.34","100"%,
"International journal of Health Medicine and Current Research-IJHMCR","2528-4398","2528-3189","HEALTH CARE SCIENCES & SERVICES - ESCI","55","n/a","n/a","0.06","0"%,
"Health SA Gesondheid","1025-9848","2071-9736","HEALTH CARE SCIENCES & SERVICES - ESCI","375","n/a","n/a","0.23","100"%,
"Pharmacoeconomics-Open","2509-4262","2509-4254","HEALTH CARE SCIENCES & SERVICES - ESCI","340","n/a","n/a","0.66","100"%,
"JMIR Research Protocols","1929-0748","1929-0748","HEALTH CARE SCIENCES & SERVICES - ESCI","2,885","n/a","n/a","0.67","100"%,
"Health Services Insights","1178-6329","1178-6329","HEALTH CARE SCIENCES & SERVICES - ESCI","330","n/a","n/a","0.62","100"%,
"Biomedical Human Kinetics","0043-9630","2080-2234","HEALTH CARE SCIENCES & SERVICES - ESCI","172","n/a","n/a","0.23","100"%,
"Journal of Health Research","0857-4421","2586-940X","HEALTH CARE SCIENCES & SERVICES - ESCI","345","n/a","n/a","0.11","100"%,
"Approaches to Aging Control","2341-5401","2341-538X","HEALTH CARE SCIENCES & SERVICES - ESCI","8","n/a","n/a","0.03","7.69"%,
"Buletin Penelitian Kesehatan","0125-9695","2338-3453","HEALTH CARE SCIENCES & SERVICES - ESCI","33","n/a","n/a","0.02","100"%,
"Professional Case Management","1932-8087","1932-8095","HEALTH CARE SCIENCES & SERVICES - ESCI","265","n/a","n/a","0.28","1.25"%,
"African Journal of Disability","2223-9170","2226-7220","HEALTH CARE SCIENCES & SERVICES - ESCI","356","n/a","n/a","0.44","100"%,
"Journal of Patient Experience","2374-3743","2374-3735","HEALTH CARE SCIENCES & SERVICES - ESCI","272","n/a","n/a","0.53","100"%,
"Health Problems of Civilization","2353-6942","2354-0265","HEALTH CARE SCIENCES & SERVICES - ESCI","48","n/a","n/a","0.09","100"%,
"Patient-Related Outcome Measures","1179-271X","1179-271X","HEALTH CARE SCIENCES & SERVICES - ESCI","588","n/a","n/a","0.68","100"%,
"Zeitschrift fur Palliativmedizin","1615-2921","1615-293X","HEALTH CARE SCIENCES & SERVICES - ESCI","77","n/a","n/a","0.11","0"%,
"Indian Journal of Palliative Care","0973-1075","1998-3735","HEALTH CARE SCIENCES & SERVICES - ESCI","953","n/a","n/a","0.44","100"%,
"Drug Healthcare and Patient Safety","1179-1365","1179-1365","HEALTH CARE SCIENCES & SERVICES - ESCI","358","n/a","n/a","0.5","100"%,
"Healthcare in Low-resource Settings","N/A","2281-7824","HEALTH CARE SCIENCES & SERVICES - ESCI","24","n/a","n/a","0.02","100"%,
"Operations Research for Health Care","2211-6923","2211-6923","HEALTH CARE SCIENCES & SERVICES - ESCI","543","n/a","n/a","0.78","5.88"%,
