"Journal Data Filtered By:  Selected Categories: NURSING Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"INTERNATIONAL JOURNAL OF NURSING STUDIES","0020-7489","1873-491X","NURSING - SCIE","14,846","5.837","Q1","2.38","13.28"%,
"European Journal of Cardiovascular Nursing","1474-5151","1873-1953","NURSING - SCIE","2,670","3.908","Q1","1.31","6.75"%,
"Journal of Family Nursing","1074-8407","1552-549X","NURSING - SCIE","1,174","3.818","Q1","1.32","9.33"%,
"BIRTH-ISSUES IN PERINATAL CARE","0730-7659","1523-536X","NURSING - SCIE","3,059","3.689","Q1","1.33","9.55"%,
"International Journal of Mental Health Nursing","1445-8330","1447-0349","NURSING - SCIE","3,269","3.503","Q1","1.4","7.94"%,
"NURSE EDUCATION TODAY","0260-6917","1532-2793","NURSING - SCIE","11,452","3.442","Q1","1.66","4.67"%,
"Journal of Nursing Management","0966-0429","1365-2834","NURSING - SCIE","5,861","3.325","Q1","1.36","7.93"%,
"NURSING OUTLOOK","0029-6554","1528-3968","NURSING - SCIE","2,751","3.25","Q1","1.69","2.36"%,
"JOURNAL OF ADVANCED NURSING","0309-2402","1365-2648","NURSING - SCIE","23,214","3.187","Q1","1.6","9.51"%,
"JOURNAL OF NURSING SCHOLARSHIP","1527-6546","1547-5069","NURSING - SCIE","4,200","3.176","Q1","1.75","5.56"%,
"Women and Birth","1871-5192","1878-1799","NURSING - SCIE","2,771","3.172","Q1","1.33","5.09"%,
"Intensive and Critical Care Nursing","0964-3397","1532-4036","NURSING - SCIE","2,222","3.072","Q1","1.54","5.99"%,
"JOURNAL OF CLINICAL NURSING","0962-1067","1365-2702","NURSING - SCIE","16,921","3.036","Q1","1.46","8.39"%,
"Journal of Psychiatric and Mental Health Nursing","1351-0126","1365-2850","NURSING - SCIE","3,537","2.952","Q1","0.96","10.09"%,
"Journal of Tissue Viability","0965-206X","1876-4746","NURSING - SCIE","955","2.932","Q1","1.6","12.31"%,
