"Journal Data Filtered By:  Selected Categories: GASTROENTEROLOGY & HEPATOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Nature Reviews Gastroenterology & Hepatology","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY - SCIE","15,358","46.802","Q1","5.93","3.9"%,
"JOURNAL OF HEPATOLOGY","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY - SCIE","52,238","25.083","Q1","4.06","14.97"%,
"GUT","0017-5749","1468-3288","GASTROENTEROLOGY & HEPATOLOGY - SCIE","58,318","23.059","Q1","4.84","40.79"%,
"GASTROENTEROLOGY","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY - SCIE","94,870","22.682","Q1","3.91","16.93"%,
"Lancet Gastroenterology & Hepatology","N/A","2468-1253","GASTROENTEROLOGY & HEPATOLOGY - SCIE","7,075","18.486","Q1","3.34","10"%,
"HEPATOLOGY","0270-9139","1527-3350","GASTROENTEROLOGY & HEPATOLOGY - SCIE","78,043","17.425","Q1","3.23","16.05"%,
"Liver Cancer","2235-1795","1664-5553","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,579","11.74","Q1","1.57","100"%,
"Clinical Gastroenterology and Hepatology","1542-3565","1542-7714","GASTROENTEROLOGY & HEPATOLOGY - SCIE","24,144","11.382","Q1","1.95","8.96"%,
"AMERICAN JOURNAL OF GASTROENTEROLOGY","0002-9270","1572-0241","GASTROENTEROLOGY & HEPATOLOGY - SCIE","37,888","10.864","Q1","1.92","4.28"%,
"Gut Microbes","1949-0976","1949-0984","GASTROENTEROLOGY & HEPATOLOGY - SCIE","6,085","10.245","Q1","2.01","54.57"%,
"ENDOSCOPY","0013-726X","1438-8812","GASTROENTEROLOGY & HEPATOLOGY - SCIE","14,018","10.093","Q1","2.35","2.43"%,
"GASTROINTESTINAL ENDOSCOPY","0016-5107","1097-6779","GASTROENTEROLOGY & HEPATOLOGY - SCIE","28,955","9.427","Q1","1.59","2.45"%,
"Cellular and Molecular Gastroenterology and Hepatology","2352-345X","2352-345X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,904","9.225","Q1","1.53","100"%,
"Journal of Crohns & Colitis","1873-9946","1876-4479","GASTROENTEROLOGY & HEPATOLOGY - SCIE","11,864","9.071","Q1","1.7","18.09"%,
"ALIMENTARY PHARMACOLOGY & THERAPEUTICS","0269-2813","1365-2036","GASTROENTEROLOGY & HEPATOLOGY - SCIE","25,641","8.171","Q1","1.99","13.83"%,
"Digestive Endoscopy","0915-5635","1443-1661","GASTROENTEROLOGY & HEPATOLOGY - SCIE","4,707","7.559","Q1","1.47","5.33"%,
"JOURNAL OF GASTROENTEROLOGY","0944-1174","1435-5922","GASTROENTEROLOGY & HEPATOLOGY - SCIE","9,578","7.527","Q1","1.41","31.27"%,
"Gastric Cancer","1436-3291","1436-3305","GASTROENTEROLOGY & HEPATOLOGY - SCIE","7,698","7.37","Q1","1.68","18.64"%,
"Hepatobiliary Surgery and Nutrition","2304-3881","2304-389X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,292","7.293","Q1","0.89","81.52"%,
"Journal of Hepato-Biliary-Pancreatic Sciences","1868-6974","1868-6982","GASTROENTEROLOGY & HEPATOLOGY - SCIE","4,958","7.027","Q1","1.49","5.02"%,
"Clinics in Liver Disease","1089-3261","1557-8224","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,225","6.126","Q1","0.96","0.65"%,
"SEMINARS IN LIVER DISEASE","0272-8087","1098-8971","GASTROENTEROLOGY & HEPATOLOGY - SCIE","4,535","6.115","Q1","0.83","1.68"%,
"Clinical and Molecular Hepatology","2287-2728","2287-285X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,564","6.074","Q1","0.87","100"%,
"Hepatology International","1936-0533","1936-0541","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,481","6.047","Q2","1.09","15.38"%,
"LIVER INTERNATIONAL","1478-3223","1478-3231","GASTROENTEROLOGY & HEPATOLOGY - SCIE","12,834","5.828","Q2","1.25","15.46"%,
"LIVER TRANSPLANTATION","1527-6465","1527-6473","GASTROENTEROLOGY & HEPATOLOGY - SCIE","11,872","5.799","Q2","1.51","8.5"%,
"HELICOBACTER","1083-4389","1523-5378","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,713","5.753","Q2","0.99","8.11"%,
"WORLD JOURNAL OF GASTROENTEROLOGY","1007-9327","2219-2840","GASTROENTEROLOGY & HEPATOLOGY - SCIE","52,773","5.742","Q2","0.79","98.21"%,
"Endoscopic Ultrasound","2303-9027","2226-7190","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,148","5.628","Q2","0.75","0"%,
"INFLAMMATORY BOWEL DISEASES","1078-0998","1536-4844","GASTROENTEROLOGY & HEPATOLOGY - SCIE","18,760","5.325","Q2","1","8.7"%,
"Annals of Gastroenterological Surgery","2475-0328","2475-0328","GASTROENTEROLOGY & HEPATOLOGY - SCIE","864","5.164","Q2","0.73","100"%,
"Hepatology Communications","N/A","2471-254X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,919","5.073","Q2","0.92","100"%,
"Journal of Neurogastroenterology and Motility","2093-0879","2093-0887","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,217","4.924","Q2","0.89","99.42"%,
"United European Gastroenterology Journal","2050-6406","2050-6414","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,252","4.623","Q2","0.78","15.99"%,
"DISEASES OF THE COLON & RECTUM","0012-3706","1530-0358","GASTROENTEROLOGY & HEPATOLOGY - SCIE","16,654","4.585","Q2","1.3","1.85"%,
"Gut and Liver","1976-2283","2005-1212","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,172","4.519","Q2","0.77","90.91"%,
"Clinical and Translational Gastroenterology","N/A","2155-384X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,243","4.488","Q2","0.87","100"%,
"Therapeutic Advances in Gastroenterology","1756-283X","1756-2848","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,367","4.409","Q2","0.68","100"%,
"HEPATOLOGY RESEARCH","1386-6346","1872-034X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","5,658","4.288","Q2","0.86","8.58"%,
"Esophagus","1612-9059","1612-9067","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,005","4.23","Q2","0.82","14.65"%,
"Gut Pathogens","1757-4749","1757-4749","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,044","4.181","Q2","0.78","100"%,
"Journal of Clinical and Translational Hepatology","2225-0719","2310-8819","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,450","4.108","Q2","0.66","82.14"%,
"DIGESTIVE AND LIVER DISEASE","1590-8658","1878-3562","GASTROENTEROLOGY & HEPATOLOGY - SCIE","8,209","4.088","Q2","0.73","3.55"%,
"AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY","0193-1857","1522-1547","GASTROENTEROLOGY & HEPATOLOGY - SCIE","16,609","4.052","Q2","0.99","2.98"%,
"JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY","0815-9319","1440-1746","GASTROENTEROLOGY & HEPATOLOGY - SCIE","15,451","4.029","Q2","0.8","4.96"%,
"PANCREATOLOGY","1424-3903","1424-3911","GASTROENTEROLOGY & HEPATOLOGY - SCIE","5,526","3.996","Q2","0.78","5.43"%,
"Expert Review of Gastroenterology & Hepatology","1747-4124","1747-4132","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,069","3.869","Q3","0.58","2.38"%,
"GASTROENTEROLOGY CLINICS OF NORTH AMERICA","0889-8553","1558-1942","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,805","3.806","Q3","0.93","0.68"%,
"Colorectal Disease","1462-8910","1463-1318","GASTROENTEROLOGY & HEPATOLOGY - SCIE","8,971","3.788","Q3","0.9","13.3"%,
"Techniques in Coloproctology","1123-6337","1128-045X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,480","3.781","Q3","0.86","17.69"%,
"Hepatobiliary & Pancreatic Diseases International","1499-3872","2352-9377","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,334","3.78","Q3","0.57","0"%,
"JOURNAL OF VIRAL HEPATITIS","1352-0504","1365-2893","GASTROENTEROLOGY & HEPATOLOGY - SCIE","5,219","3.728","Q3","0.95","10.52"%,
"Journal of Gastric Cancer","2093-582X","2093-5641","GASTROENTEROLOGY & HEPATOLOGY - SCIE","988","3.72","Q3","0.61","50"%,
"Gastroenterology Report","2052-0034","2052-0034","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,115","3.651","Q3","0.61","100"%,
"HPB","1365-182X","1477-2574","GASTROENTEROLOGY & HEPATOLOGY - SCIE","6,923","3.647","Q3","1.01","1.92"%,
"NEUROGASTROENTEROLOGY AND MOTILITY","1350-1925","1365-2982","GASTROENTEROLOGY & HEPATOLOGY - SCIE","10,724","3.598","Q3","0.78","11.07"%,
"Canadian Journal of Gastroenterology and Hepatology","2291-2789","2291-2797","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,130","3.522","Q3","0.5","100"%,
"JOURNAL OF GASTROINTESTINAL SURGERY","1091-255X","1873-4626","GASTROENTEROLOGY & HEPATOLOGY - SCIE","13,867","3.452","Q3","0.91","5.18"%,
"DISEASES OF THE ESOPHAGUS","1120-8694","1442-2050","GASTROENTEROLOGY & HEPATOLOGY - SCIE","4,495","3.429","Q3","0.52","5.85"%,
"World Journal of Gastrointestinal Oncology","1948-5204","1948-5204","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,922","3.393","Q3","0.5","95.85"%,
"PANCREAS","0885-3177","1536-4828","GASTROENTEROLOGY & HEPATOLOGY - SCIE","8,783","3.327","Q3","0.61","5.2"%,
"CURRENT OPINION IN GASTROENTEROLOGY","0267-1379","1531-7056","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,286","3.287","Q3","0.5","0.48"%,
"DIGESTION","0012-2823","1421-9867","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,509","3.216","Q3","0.68","4.71"%,
"DIGESTIVE DISEASES AND SCIENCES","0163-2116","1573-2568","GASTROENTEROLOGY & HEPATOLOGY - SCIE","19,852","3.199","Q3","0.64","5.69"%,
"Minerva Gastroenterologica e Dietologica","0026-4776","1827-1642","GASTROENTEROLOGY & HEPATOLOGY - SCIE","610","3.072","Q3","0.5","0"%,
"BMC GASTROENTEROLOGY","N/A","1471-230X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","6,821","3.067","Q3","0.59","100"%,
"JOURNAL OF CLINICAL GASTROENTEROLOGY","0192-0790","1539-2031","GASTROENTEROLOGY & HEPATOLOGY - SCIE","9,144","3.062","Q3","0.67","3.19"%,
"Best Practice & Research Clinical Gastroenterology","1521-6918","1532-1916","GASTROENTEROLOGY & HEPATOLOGY - SCIE","3,919","3.043","Q3","0.75","1.03"%,
"Clinics and Research in Hepatology and Gastroenterology","2210-7401","2210-741X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,157","2.947","Q3","0.54","1.72"%,
"Journal of Gastrointestinal Oncology","2078-6891","2219-679X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,761","2.892","Q4","0.52","74.13"%,
"JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION","0277-2116","1536-4801","GASTROENTEROLOGY & HEPATOLOGY - SCIE","15,311","2.839","Q4","0.96","3.07"%,
"DIGESTIVE SURGERY","0253-4886","1421-9883","GASTROENTEROLOGY & HEPATOLOGY - SCIE","2,652","2.588","Q4","0.74","9.05"%,
"World Journal of Gastrointestinal Surgery","1948-9366","1948-9366","GASTROENTEROLOGY & HEPATOLOGY - SCIE","1,299","2.582","Q4","0.53","96.3"%,
