"Journal Data Filtered By:  Selected Categories: PEDIATRICS Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"AJP Reports","2157-6998","2157-7005","PEDIATRICS - ESCI","414","n/a","n/a","0.48","99.5"%,
"Journal of Indian Association for Child and Adolescent Mental Health","0973-1342","0973-1342","PEDIATRICS - ESCI","77","n/a","n/a","0.1","0"%,
"Pediatria-Asuncion","1683-979X","1683-9803","PEDIATRICS - ESCI","20","n/a","n/a","0.07","100"%,
"Boletin de Pediatria","0214-2597","2340-5384","PEDIATRICS - ESCI","17","n/a","n/a","0.01","0"%,
"PEDIATRICS IN REVIEW","0191-9601","1526-3347","PEDIATRICS - ESCI","1,638","n/a","n/a","0.44","0"%,
"Adolescent Psychiatry","2210-6766","2210-6774","PEDIATRICS - ESCI","106","n/a","n/a","0.2","0"%,
"PADIATRIE UND PADOLOGIE","0030-9338","1613-7558","PEDIATRICS - ESCI","61","n/a","n/a","0.02","26.19"%,
"Paediatrica Indonesiana","0030-9311","2338-476X","PEDIATRICS - ESCI","122","n/a","n/a","0.07","100"%,
"Journal of Child Science","2474-5871","2474-5871","PEDIATRICS - ESCI","28","n/a","n/a","0.07","100"%,
"Acta Pediatrica de Mexico","0186-2391","2395-8235","PEDIATRICS - ESCI","64","n/a","n/a","0.06","100"%,
"Current Pediatric Reviews","1573-3963","1875-6336","PEDIATRICS - ESCI","523","n/a","n/a","0.64","0"%,
"Case Reports in Pediatrics","2090-6803","2090-6811","PEDIATRICS - ESCI","454","n/a","n/a","0.23","100"%,
"Annals of Pediatric Surgery","1687-4137","2090-5394","PEDIATRICS - ESCI","109","n/a","n/a","0.07","51.67"%,
"Journal of Pediatrics Review","2322-4398","2322-4401","PEDIATRICS - ESCI","93","n/a","n/a","0.15","100"%,
"Journal of Pediatric Epilepsy","2146-457X","2146-4588","PEDIATRICS - ESCI","69","n/a","n/a","0.06","0"%,
"Journal of Pediatric Genetics","2146-4596","2146-460X","PEDIATRICS - ESCI","361","n/a","n/a","0.43","0.55"%,
"Journal of Pediatric Research","2147-9445","2147-9445","PEDIATRICS - ESCI","64","n/a","n/a","0.07","100"%,
"Iranian Journal of Neonatology","2251-7510","2322-2158","PEDIATRICS - ESCI","174","n/a","n/a","0.14","100"%,
"Journal of Pediatric Infection","1307-1068","1308-5271","PEDIATRICS - ESCI","80","n/a","n/a","0.03","0"%,
"Journal of Pediatric Neurology","1304-2580","1875-9041","PEDIATRICS - ESCI","184","n/a","n/a","0.1","0"%,
"Journal of Clinical Neonatology","2249-4847","1658-6093","PEDIATRICS - ESCI","309","n/a","n/a","0.13","0.59"%,
"PROGRESS IN PEDIATRIC CARDIOLOGY","1058-9813","1558-1519","PEDIATRICS - ESCI","454","n/a","n/a","0.12","0"%,
"Revista Chilena de Pediatria-Chile","0370-4106","0717-6228","PEDIATRICS - ESCI","453","n/a","n/a","0.27","29.43"%,
"International Journal of Pediatrics","1687-9740","1687-9759","PEDIATRICS - ESCI","1,021","n/a","n/a","0.69","100"%,
"Journal of Pediatric Intensive Care","2146-4618","2146-4626","PEDIATRICS - ESCI","191","n/a","n/a","0.26","0.55"%,
"Research and Reports in Neonatology","N/A","1179-9935","PEDIATRICS - ESCI","106","n/a","n/a","0.48","100"%,
"Clinical Medicine Insights-Pediatrics","1179-5565","1179-5565","PEDIATRICS - ESCI","266","n/a","n/a","0.64","100"%,
