"Journal Data Filtered By:  Selected Categories: AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"EAR AND HEARING","0196-0202","1538-4667","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","7,712","3.57","Q1","1.78","10.69"%,
"Trends in Hearing","2331-2165","2331-2165","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,075","3.293","Q1","1.39","100"%,
"HEARING RESEARCH","0378-5955","1878-5891","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","11,475","3.208","Q1","1.39","16.53"%,
"INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS","1368-2822","1460-6984","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","3,291","3.02","Q1","1.32","12.55"%,
"LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS","0161-1461","1558-9129","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","2,595","2.983","Q1","1.5","4.48"%,
"APHASIOLOGY","0268-7038","1464-5041","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","4,157","2.773","Q1","1.03","5"%,
"JOURNAL OF FLUENCY DISORDERS","0094-730X","1873-801X","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,497","2.538","Q2","1.34","4.17"%,
"International Journal of Speech-Language Pathology","1754-9507","1754-9515","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,853","2.484","Q2","1.3","6.99"%,
"AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY","1058-0360","1558-9110","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","3,908","2.408","Q2","1.18","4.28"%,
"BRAIN AND LANGUAGE","0093-934X","1090-2155","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","7,432","2.381","Q2","1.2","10.95"%,
"Language Cognition and Neuroscience","2327-3798","2327-3801","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,510","2.331","Q2","0.93","12.98"%,
"JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH","1092-4388","1558-9102","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","11,095","2.297","Q2","1.27","8.71"%,
"JOURNAL OF COMMUNICATION DISORDERS","0021-9924","1873-7994","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","2,694","2.288","Q2","1.01","6.79"%,
"Augmentative and Alternative Communication","0743-4618","1477-3848","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,308","2.214","Q3","1.25","7.69"%,
"INTERNATIONAL JOURNAL OF AUDIOLOGY","1499-2027","1708-8186","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","4,864","2.117","Q3","0.95","16.67"%,
"JOURNAL OF VOICE","0892-1997","1873-4588","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","6,868","2.009","Q3","0.88","1.44"%,
"AUDIOLOGY AND NEURO-OTOLOGY","1420-3030","1421-9700","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","2,463","1.854","Q3","0.68","21.31"%,
"JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA","0001-4966","1520-8524","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","49,404","1.84","Q3","0.8","7.52"%,
"SEMINARS IN SPEECH AND LANGUAGE","0734-0478","1098-9056","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","997","1.761","Q3","0.62","0"%,
"PHONETICA","0031-8388","1423-0321","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","806","1.759","Q3","1.15","10.87"%,
"Journal of the American Academy of Audiology","1050-0545","2157-3107","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","2,878","1.664","Q4","0.81","0"%,
"LANGUAGE AND SPEECH","0023-8309","1756-6053","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,577","1.5","Q4","0.83","11.51"%,
"American Journal of Audiology","1059-0889","1558-9137","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,319","1.493","Q4","0.8","5.15"%,
"Logopedics Phoniatrics Vocology","1401-5439","1651-2022","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","566","1.487","Q4","0.64","16.84"%,
"CLINICAL LINGUISTICS & PHONETICS","0269-9206","1464-5076","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,876","1.346","Q4","0.86","5.74"%,
"Noise & Health","1463-1741","1998-4030","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,564","0.867","Q4","0.43","100"%,
"FOLIA PHONIATRICA ET LOGOPAEDICA","1021-7762","1421-9972","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE","1,336","0.849","Q4","0.4","4.5"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
