"Journal Data Filtered By:  Selected Categories: INTEGRATIVE & COMPLEMENTARY MEDICINE Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Journal of Ginseng Research","1226-8453","2093-4947","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","3,121","6.06","Q1","1.78","100"%,
"Chinese Medicine","1749-8546","1749-8546","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,925","5.455","Q1","1.17","100"%,
"PHYTOMEDICINE","0944-7113","1618-095X","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","15,074","5.34","Q1","1.7","6.28"%,
"AMERICAN JOURNAL OF CHINESE MEDICINE","0192-415X","1793-6853","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","4,572","4.667","Q1","1.47","0.69"%,
"JOURNAL OF ETHNOPHARMACOLOGY","0378-8741","1872-7573","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","45,538","4.36","Q1","1.35","2.33"%,
"BMC Complementary and Alternative Medicine","N/A","1472-6882","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","14,616","3.659","Q1","1.33","100"%,
"PLANTA MEDICA","0032-0943","1439-0221","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","15,387","3.352","Q1","1.01","0.89"%,
"INTEGRATIVE CANCER THERAPIES","1534-7354","1552-695X","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","2,626","3.279","Q2","0.82","100"%,
"Journal of Integrative Medicine-JIM","2095-4964","2095-4964","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,244","3.034","Q2","0.97","4.47"%,
"Journal of Herbal Medicine","2210-8033","2210-8041","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","787","3.032","Q2","0.86","1.04"%,
"Chinese Journal of Natural Medicines","2095-6975","1875-5364","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","2,816","3","Q2","0.87","0"%,
"Evidence-based Complementary and Alternative Medicine","1741-427X","1741-4288","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","22,221","2.629","Q2","0.73","100"%,
"JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE","1075-5535","1557-7708","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","5,856","2.579","Q2","0.89","7.16"%,
"COMPLEMENTARY THERAPIES IN MEDICINE","0965-2299","1873-6963","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","4,403","2.446","Q2","0.86","5.54"%,
"Complementary Therapies in Clinical Practice","1744-3881","1873-6947","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","2,275","2.446","Q2","0.82","5.25"%,
"Integrative Medicine Research","2213-4220","2213-4239","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","931","2.368","Q3","0.78","100"%,
"Acupuncture in Medicine","0964-5284","1759-9873","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,579","2.267","Q3","0.85","12.14"%,
"Chinese Journal of Integrative Medicine","1672-0415","1993-0402","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","2,875","1.978","Q3","0.68","0"%,
"Explore-The Journal of Science and Healing","1550-8307","1878-7541","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,075","1.775","Q3","0.59","11.35"%,
"Homeopathy","1475-4916","1476-4245","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","588","1.444","Q3","0.71","7.23"%,
"JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS","0161-4754","N/A","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","3,239","1.437","Q3","0.51","1.55"%,
"European Journal of Integrative Medicine","1876-3820","1876-3839","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,301","1.314","Q4","0.51","9.37"%,
"ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE","1078-6791","1078-6791","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,372","1.305","Q4","0.36","0"%,
"Complementary Medicine Research","2504-2092","2504-2106","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","190","1.211","Q4","0.41","17.32"%,
"Holistic Nursing Practice","0887-9311","1550-5138","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","923","1","Q4","0.56","0"%,
"Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","0717-7917","0717-7917","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","452","0.905","Q4","0.27","0.79"%,
"Journal of Traditional Chinese Medicine","0255-2922","1577-7014","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","2,096","0.848","Q4","0.22","1.81"%,
"ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH","0360-1293","2167-9010","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","177","0.143","Q4","0.09","0"%,
"BMC Complementary Medicine and Therapies","N/A","2662-7671","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","241","n/a","Q4","n/a","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
