"Journal Data Filtered By:  Selected Categories: DENTISTRY, ORAL SURGERY & MEDICINE Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"BDJ Open","N/A","2056-807X","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","106","n/a","n/a","0.55","100"%,
"Revista Portuguesa de Estomatologia Medicina Dentaria e Cirurgia Maxilofacial","1646-2890","1647-6700","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","104","n/a","n/a","0.07","0"%,
"Dental Cadmos","0011-8524","0011-8524","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","109","n/a","n/a","0.09","0"%,
"Acta Bioclinica","2244-8136","2244-8136","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","21","n/a","n/a","0.03","0"%,
"Dental Hypotheses","2155-8213","2155-8213","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","108","n/a","n/a","0.11","100"%,
"Orthodontic Waves","1344-0241","1878-1837","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","99","n/a","n/a","0.09","0"%,
"Odontoestomatologia","0797-0374","1688-9339","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","24","n/a","n/a","0.05","100"%,
"Saudi Dental Journal","1013-9052","1658-3558","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","1,107","n/a","n/a","0.92","100"%,
"Minerva Stomatologica","0026-4970","1827-174X","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","682","n/a","n/a","0.4","0"%,
"European Oral Research","2630-6158","2651-2823","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","49","n/a","n/a","0.3","100"%,
"Open Dentistry Journal","1874-2106","1874-2106","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI","1,141","n/a","n/a","0.46","99.31"%,
