"Journal Data Filtered By:  Selected Categories: REHABILITATION Selected Editions: SSCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"EXCEPTIONAL CHILDREN","0014-4029","2163-5560","REHABILITATION - SSCI","4,166","5.042","Q1","2.21","0"%,
"JOURNAL OF OCCUPATIONAL REHABILITATION","1053-0487","1573-3688","REHABILITATION - SSCI","3,112","3.489","Q1","1.36","33.63"%,
"DISABILITY & SOCIETY","0968-7599","1360-0508","REHABILITATION - SSCI","4,748","3.314","Q1","1.37","8.24"%,
"RESEARCH IN DEVELOPMENTAL DISABILITIES","0891-4222","1873-3379","REHABILITATION - SSCI","10,544","3.23","Q1","1.36","6.98"%,
"Games for Health Journal","2161-783X","2161-7856","REHABILITATION - SSCI","1,278","3.204","Q1","1.07","2.03"%,
"Focus on Autism and Other Developmental Disabilities","1088-3576","1538-4829","REHABILITATION - SSCI","1,211","3.042","Q1","1.21","1.27"%,
"DISABILITY AND REHABILITATION","0963-8288","1464-5165","REHABILITATION - SSCI","14,882","3.033","Q1","1.38","12.09"%,
"INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS","1368-2822","1460-6984","REHABILITATION - SSCI","3,291","3.02","Q1","1.32","12.55"%,
"LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS","0161-1461","1558-9129","REHABILITATION - SSCI","2,595","2.983","Q1","1.5","4.48"%,
"Research in Autism Spectrum Disorders","1750-9467","1878-0237","REHABILITATION - SSCI","5,313","2.881","Q1","0.97","7.26"%,
"Learning Disabilities Research & Practice","0938-8982","1540-5826","REHABILITATION - SSCI","1,307","2.861","Q1","1.12","0"%,
"JOURNAL OF LEARNING DISABILITIES","0022-2194","1538-4780","REHABILITATION - SSCI","4,457","2.859","Q1","1.6","3.68"%,
"APHASIOLOGY","0268-7038","1464-5041","REHABILITATION - SSCI","4,157","2.773","Q1","1.03","5"%,
"JOURNAL OF HEAD TRAUMA REHABILITATION","0885-9701","1550-509X","REHABILITATION - SSCI","5,426","2.71","Q1","1.14","0.75"%,
"JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES","1360-2322","1468-3148","REHABILITATION - SSCI","3,675","2.7","Q1","0.98","22.38"%,
"Scandinavian Journal of Occupational Therapy","1103-8128","1651-2014","REHABILITATION - SSCI","1,671","2.611","Q1","1.05","22.91"%,
"Journal of Mental Health Research in Intellectual Disabilities","1931-5864","1931-5872","REHABILITATION - SSCI","410","2.586","Q1","0.69","5.66"%,
"REHABILITATION PSYCHOLOGY","0090-5550","1939-1544","REHABILITATION - SSCI","2,703","2.564","Q1","0.86","0"%,
"Disability and Health Journal","1936-6574","1876-7583","REHABILITATION - SSCI","2,139","2.554","Q2","0.99","4.35"%,
"JOURNAL OF FLUENCY DISORDERS","0094-730X","1873-801X","REHABILITATION - SSCI","1,497","2.538","Q2","1.34","4.17"%,
"EUROPEAN JOURNAL OF CANCER CARE","0961-5423","1365-2354","REHABILITATION - SSCI","4,547","2.52","Q2","1","10.2"%,
"Disability and Rehabilitation-Assistive Technology","1748-3107","1748-3115","REHABILITATION - SSCI","2,081","2.5","Q2","0.94","7.91"%,
"AJIDD-American Journal on Intellectual and Developmental Disabilities","1944-7515","1944-7558","REHABILITATION - SSCI","1,427","2.5","Q2","1.19","0"%,
"RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES","1540-7969","2169-2408","REHABILITATION - SSCI","1,057","2.486","Q2","1.12","1.67"%,
"International Journal of Speech-Language Pathology","1754-9507","1754-9515","REHABILITATION - SSCI","1,853","2.484","Q2","1.3","6.99"%,
"ASSISTIVE TECHNOLOGY","1040-0435","1949-3614","REHABILITATION - SSCI","1,026","2.431","Q2","0.89","4.41"%,
"JOURNAL OF INTELLECTUAL DISABILITY RESEARCH","0964-2633","1365-2788","REHABILITATION - SSCI","6,530","2.424","Q2","0.83","13.67"%,
"AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY","1058-0360","1558-9110","REHABILITATION - SSCI","3,908","2.408","Q2","1.18","4.28"%,
"PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS","0194-2638","1541-3144","REHABILITATION - SSCI","1,384","2.36","Q2","0.99","8.81"%,
"BRAIN INJURY","0269-9052","1362-301X","REHABILITATION - SSCI","8,333","2.311","Q2","0.72","2.58"%,
"JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH","1092-4388","1558-9102","REHABILITATION - SSCI","11,095","2.297","Q2","1.27","8.71"%,
"JOURNAL OF COMMUNICATION DISORDERS","0021-9924","1873-7994","REHABILITATION - SSCI","2,694","2.288","Q2","1.01","6.79"%,
"AMERICAN JOURNAL OF OCCUPATIONAL THERAPY","0272-9490","1943-7676","REHABILITATION - SSCI","6,437","2.246","Q2","0.78","0.32"%,
"Augmentative and Alternative Communication","0743-4618","1477-3848","REHABILITATION - SSCI","1,308","2.214","Q2","1.25","7.69"%,
"NEUROREHABILITATION","1053-8135","1878-6448","REHABILITATION - SSCI","3,753","2.138","Q2","0.67","0"%,
