"Journal Data Filtered By:  Selected Categories: MEDICAL ETHICS Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"AMERICAN JOURNAL OF BIOETHICS","1526-5161","1536-0075","MEDICAL ETHICS - SCIE","3,052","11.229","Q1","4.08","8.33"%,
"Journal of Law and the Biosciences","2053-9711","2053-9711","MEDICAL ETHICS - SCIE","440","3.583","Q1","1.9","100"%,
"JOURNAL OF MEDICAL ETHICS","0306-6800","1473-4257","MEDICAL ETHICS - SCIE","5,285","2.903","Q1","1.15","18.1"%,
"HASTINGS CENTER REPORT","0093-0334","1552-146X","MEDICAL ETHICS - SCIE","2,050","2.683","Q1","0.92","1.69"%,
"BMC Medical Ethics","1472-6939","1472-6939","MEDICAL ETHICS - SCIE","2,394","2.652","Q2","1.13","100"%,
"Accountability in Research-Policies and Quality Assurance","0898-9621","1545-5815","MEDICAL ETHICS - SCIE","616","2.622","Q2","0.89","10.53"%,
"Philosophy Ethics and Humanities in Medicine","1747-5341","1747-5341","MEDICAL ETHICS - SCIE","412","2.464","Q2","1.81","100"%,
"Developing World Bioethics","1471-8731","1471-8847","MEDICAL ETHICS - SCIE","511","2.294","Q2","0.88","10"%,
"Public Health Ethics","1754-9973","1754-9981","MEDICAL ETHICS - SCIE","532","1.94","Q3","0.66","24.05"%,
"BIOETHICS","0269-9702","1467-8519","MEDICAL ETHICS - SCIE","2,097","1.898","Q3","0.95","21.36"%,
"Journal of Empirical Research on Human Research Ethics","1556-2646","1556-2654","MEDICAL ETHICS - SCIE","1,042","1.742","Q3","0.76","8.11"%,
"JOURNAL OF LAW MEDICINE & ETHICS","1073-1105","1748-720X","MEDICAL ETHICS - SCIE","2,233","1.718","Q3","1.16","2.19"%,
"Neuroethics","1874-5490","1874-5504","MEDICAL ETHICS - SCIE","549","1.48","Q4","0.76","32.04"%,
"Journal of Bioethical Inquiry","1176-7529","1872-4353","MEDICAL ETHICS - SCIE","790","1.352","Q4","0.87","16.83"%,
"Ethik in der Medizin","0935-7335","1437-1618","MEDICAL ETHICS - SCIE","106","0.474","Q4","0.2","24.24"%,
"Acta Bioethica","1726-569X","1726-569X","MEDICAL ETHICS - SCIE","173","0.408","Q4","0.1","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
