"Journal Data Filtered By:  Selected Categories: NEUROIMAGING Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"NEUROIMAGE","1053-8119","1095-9572","NEUROIMAGING - SCIE","119,618","6.556","Q1","1.72","47.35"%,
"Journal of NeuroInterventional Surgery","1759-8478","1759-8486","NEUROIMAGING - SCIE","7,426","5.836","Q1","1.56","8.77"%,
"HUMAN BRAIN MAPPING","1065-9471","1097-0193","NEUROIMAGING - SCIE","27,538","5.038","Q1","1.32","50.24"%,
"NeuroImage-Clinical","2213-1582","2213-1582","NEUROIMAGING - SCIE","11,645","4.881","Q2","1.02","100"%,
"Brain Imaging and Behavior","1931-7557","1931-7565","NEUROIMAGING - SCIE","4,363","3.978","Q2","0.85","12.31"%,
"AMERICAN JOURNAL OF NEURORADIOLOGY","0195-6108","1936-959X","NEUROIMAGING - SCIE","27,423","3.825","Q2","0.95","88.09"%,
"JOURNAL OF NEURORADIOLOGY","0150-9861","1773-0406","NEUROIMAGING - SCIE","1,475","3.447","Q2","0.74","2.63"%,
"NEURORADIOLOGY","0028-3940","1432-1920","NEUROIMAGING - SCIE","6,702","2.804","Q3","0.68","15.07"%,
"JOURNAL OF NEUROIMAGING","1051-2284","1552-6569","NEUROIMAGING - SCIE","2,870","2.486","Q3","0.66","11.64"%,
"PSYCHIATRY RESEARCH-NEUROIMAGING","0925-4927","1872-7506","NEUROIMAGING - SCIE","6,308","2.376","Q3","0.62","6.12"%,
"NEUROIMAGING CLINICS OF NORTH AMERICA","1052-5149","1557-9867","NEUROIMAGING - SCIE","1,515","2.264","Q4","0.66","4.48"%,
"STEREOTACTIC AND FUNCTIONAL NEUROSURGERY","1011-6125","1423-0372","NEUROIMAGING - SCIE","2,298","1.875","Q4","0.46","10.73"%,
"CLINICAL EEG AND NEUROSCIENCE","1550-0594","2169-5202","NEUROIMAGING - SCIE","1,341","1.843","Q4","0.56","2.94"%,
"KLINISCHE NEUROPHYSIOLOGIE","1434-0275","1439-4081","NEUROIMAGING - SCIE","54","0.27","Q4","0.05","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
