"Journal Data Filtered By:  Selected Categories: RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"RADIOLOGIA","0033-8338","1578-178X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","354","n/a","n/a","0.17","0"%,
"IEEE Transactions on Radiation and Plasma Medical Sciences","2469-7311","2469-7303","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","752","n/a","n/a","0.95","0"%,
"PET Clinics","1556-8598","1559-7814","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","686","n/a","n/a","0.59","3.76"%,
"Radiography","1078-8174","1532-2831","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","1,298","n/a","n/a","0.39","5.38"%,
"BJR Case Reports","2055-7159","2055-7159","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","289","n/a","n/a","0.13","100"%,
"Forensic Imaging","2666-2264","2666-2256","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","16","n/a","n/a","n/a","4.23"%,
"Applied Radiology","0160-9963","1879-2898","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","187","n/a","n/a","0.04","0"%,
"Imagen Diagnostica","2171-3669","2171-9705","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","9","n/a","n/a","0.03","0"%,
"Ultrasound Journal","2036-3176","2524-8987","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","144","n/a","n/a","0.46","100"%,
"Emergency Radiology","1070-3004","1438-1435","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","1,624","n/a","n/a","0.4","3.05"%,
"Imagerie de la Femme","1776-9817","2214-8485","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","18","n/a","n/a","0.02","0"%,
"Acta Radiologica Open","N/A","2058-4601","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","403","n/a","n/a","0.36","100"%,
"Journal of Ultrasound","1971-3495","1876-7931","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","1,285","n/a","n/a","0.7","6.01"%,
"Radiologic Technology","0033-8397","1943-5657","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","447","n/a","n/a","0.15","0"%,
