"Journal Data Filtered By:  Selected Categories: DENTISTRY, ORAL SURGERY & MEDICINE Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"JOURNAL OF CLINICAL PERIODONTOLOGY","0303-6979","1600-051X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","19,562","8.728","Q1","3.01","13.71"%,
"PERIODONTOLOGY 2000","0906-6713","1600-0757","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","6,873","7.589","Q1","2.11","7.24"%,
"JOURNAL OF PERIODONTOLOGY","0022-3492","1943-3670","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","20,398","6.993","Q1","2.31","5.1"%,
"International Journal of Oral Science","1674-2818","2049-3169","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","2,890","6.344","Q1","1.85","100"%,
"JOURNAL OF DENTAL RESEARCH","0022-0345","1544-0591","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","26,197","6.116","Q1","2.39","6.58"%,
"CLINICAL ORAL IMPLANTS RESEARCH","0905-7161","1600-0501","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","15,673","5.977","Q1","1.58","20.64"%,
"ORAL ONCOLOGY","1368-8375","1879-0593","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","13,860","5.337","Q1","1.43","8.7"%,
"DENTAL MATERIALS","0109-5641","1879-0097","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","17,990","5.304","Q1","1.6","2.53"%,
"Journal of Evidence-Based Dental Practice","1532-3382","1532-3390","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","899","5.267","Q1","0.9","4.41"%,
"INTERNATIONAL ENDODONTIC JOURNAL","0143-2885","1365-2591","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","10,290","5.264","Q1","2.05","3.83"%,
"Japanese Dental Science Review","1882-7616","2213-6851","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","618","5.093","Q1","0.97","100"%,
"Journal of Prosthodontic Research","1883-1958","2212-4632","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,950","4.642","Q1","1.53","9.05"%,
"JOURNAL OF PERIODONTAL RESEARCH","0022-3484","1600-0765","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","5,801","4.419","Q1","1.66","9.52"%,
"JOURNAL OF DENTISTRY","0300-5712","1879-176X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","12,037","4.379","Q1","1.66","4.5"%,
"JOURNAL OF ORAL PATHOLOGY & MEDICINE","0904-2512","1600-0714","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","6,375","4.253","Q1","1.25","3.07"%,
"JOURNAL OF ENDODONTICS","0099-2399","1878-3554","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","22,265","4.171","Q1","1.72","1.09"%,
"CARIES RESEARCH","0008-6568","1421-976X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","5,362","4.056","Q1","1.34","9.55"%,
"Clinical Implant Dentistry and Related Research","1523-0899","1708-8208","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","4,918","3.932","Q1","1.64","7.49"%,
"JOURNAL OF ORAL REHABILITATION","0305-182X","1365-2842","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","7,769","3.837","Q1","1.25","15.19"%,
"JOURNAL OF THE AMERICAN DENTAL ASSOCIATION","0002-8177","1943-4723","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","9,187","3.634","Q1","1.26","4.55"%,
"Clinical Oral Investigations","1432-6981","1436-3771","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","10,624","3.573","Q1","1.6","16.03"%,
"Molecular Oral Microbiology","2041-1006","2041-1014","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,318","3.563","Q1","1.05","6.86"%,
"ORAL DISEASES","1354-523X","1601-0825","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","6,931","3.511","Q2","1.29","7.59"%,
"International Journal of Paediatric Dentistry","0960-7439","1365-263X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,302","3.455","Q2","1.23","4.36"%,
"JOURNAL OF PROSTHETIC DENTISTRY","0022-3913","1097-6841","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","15,345","3.426","Q2","1.32","1.76"%,
"COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY","0301-5661","1600-0528","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","6,027","3.383","Q2","1.12","10.2"%,
"DENTAL TRAUMATOLOGY","1600-4469","1600-9657","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,680","3.333","Q2","0.96","2.89"%,
"European Journal of Oral Implantology","1756-2406","1756-2414","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,281","3.123","Q2","1.15","0"%,
"EUROPEAN JOURNAL OF ORTHODONTICS","0141-5387","1460-2210","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","5,844","3.075","Q2","1.12","3.77"%,
"GERODONTOLOGY","0734-0664","1741-2358","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","2,232","2.98","Q2","0.69","7.02"%,
"Journal of Esthetic and Restorative Dentistry","1496-4155","1708-8240","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,909","2.843","Q2","0.97","3.13"%,
"INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS","0882-2786","1942-4434","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","8,954","2.804","Q2","1.09","0"%,
"Oral and Maxillofacial Surgery Clinics of North America","1042-3699","1558-1365","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,277","2.802","Q2","1","0"%,
"INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY","0901-5027","1399-0020","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","10,324","2.789","Q2","0.96","2.91"%,
"BMC Oral Health","1472-6831","1472-6831","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","5,030","2.757","Q2","1.12","100"%,
"Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry","1059-941X","1532-849X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,855","2.752","Q2","1.35","1.56"%,
"Progress in Orthodontics","2196-1042","2196-1042","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,118","2.75","Q2","0.95","100"%,
"Journal of Applied Oral Science","1678-7757","1678-7765","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,033","2.698","Q2","1.01","100"%,
"AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS","0889-5406","1097-6752","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","15,935","2.65","Q2","1.04","1.16"%,
"Odontology","1618-1247","1618-1255","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,367","2.634","Q2","1.18","10.69"%,
"ARCHIVES OF ORAL BIOLOGY","0003-9969","1879-1506","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","10,005","2.633","Q2","1.07","2.82"%,
"Journal of Periodontal and Implant Science","2093-2278","2093-2286","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","718","2.614","Q2","0.98","52.83"%,
"EUROPEAN JOURNAL OF ORAL SCIENCES","0909-8836","1600-0722","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","4,266","2.612","Q2","1.14","15.53"%,
"Oral Surgery Oral Medicine Oral Pathology Oral Radiology","2212-4403","1528-395X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","16,689","2.589","Q2","0.87","3"%,
"INTERNATIONAL DENTAL JOURNAL","0020-6539","1875-595X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,063","2.512","Q2","0.95","15.49"%,
"International Journal of Dental Hygiene","1601-5029","1601-5037","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,358","2.477","Q3","0.77","16.67"%,
"Implant Dentistry","1056-6163","1056-6163","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","2,651","2.454","Q3","0.83","0"%,
"OPERATIVE DENTISTRY","0361-7734","1559-2863","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","4,382","2.44","Q3","1.1","0"%,
"DENTOMAXILLOFACIAL RADIOLOGY","0250-832X","1476-542X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,814","2.419","Q3","0.83","2.09"%,
"International Journal of Implant Dentistry","N/A","2198-4034","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","591","2.384","Q3","0.94","100"%,
"JOURNAL OF ADHESIVE DENTISTRY","1461-5185","1757-9988","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","2,091","2.359","Q3","0.98","0"%,
"European Journal of Dental Education","1396-5883","1600-0579","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,876","2.355","Q3","0.88","6.94"%,
"ACTA ODONTOLOGICA SCANDINAVICA","0001-6357","1502-3850","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","4,791","2.331","Q3","0.87","17.67"%,
"AUSTRALIAN DENTAL JOURNAL","0045-0421","1834-7819","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,723","2.291","Q3","0.78","2.72"%,
"JOURNAL OF DENTAL EDUCATION","0022-0337","1930-7837","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","4,985","2.264","Q3","0.79","1.11"%,
"European Journal of Paediatric Dentistry","1591-996X","2035-648X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,298","2.231","Q3","0.74","0"%,
"Head & Face Medicine","N/A","1746-160X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,098","2.151","Q3","0.87","100"%,
"DENTAL MATERIALS JOURNAL","0287-4547","N/A","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,408","2.102","Q3","0.57","0"%,
"Journal of Dental Sciences","1991-7902","2213-8862","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","947","2.08","Q3","0.64","100"%,
"ANGLE ORTHODONTIST","0003-3219","1945-7103","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","7,835","2.079","Q3","0.94","100"%,
"JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY","1010-5182","1878-4119","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","7,808","2.078","Q3","0.84","0.96"%,
"Medicina Oral Patologia Oral y Cirugia Bucal","1698-6946","1698-6946","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,780","2.047","Q3","0.77","0"%,
"CRANIO-The Journal of Craniomandibular & Sleep Practice","0886-9634","2151-0903","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,300","2.02","Q3","0.65","0"%,
"Journal of Orofacial Orthopedics-Fortschritte der Kieferorthopadie","1434-5293","1615-6714","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,073","1.938","Q3","0.68","15.45"%,
"Journal of Advanced Prosthodontics","2005-7806","2005-7814","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,263","1.904","Q3","0.81","49.02"%,
"JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY","0278-2391","1531-5053","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","17,785","1.895","Q3","0.77","1.61"%,
"International Journal of Computerized Dentistry","1463-4201","1463-4201","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","578","1.883","Q3","0.84","0"%,
"PEDIATRIC DENTISTRY","0164-1263","1942-5473","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,444","1.874","Q3","0.62","0"%,
"Journal of Oral & Facial Pain and Headache","2333-0384","2333-0376","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","899","1.871","Q4","0.7","0"%,
"Oral Radiology","0911-6028","1613-9674","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","399","1.852","Q4","0.57","5.7"%,
"INTERNATIONAL JOURNAL OF PERIODONTICS & RESTORATIVE DENTISTRY","0198-7569","1945-3388","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,869","1.84","Q4","0.75","0"%,
"Orthodontics & Craniofacial Research","1601-6335","1601-6343","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,422","1.826","Q4","0.79","4.11"%,
