"Journal Data Filtered By:  Selected Categories: PSYCHIATRY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"World Psychiatry","1723-8617","2051-5545","PSYCHIATRY - SCIE","9,619","49.548","Q1","8.93","0"%,
"Lancet Psychiatry","2215-0374","N/A","PSYCHIATRY - SCIE","14,839","27.083","Q1","5.05","25.38"%,
"JAMA Psychiatry","2168-622X","2168-6238","PSYCHIATRY - SCIE","19,105","21.596","Q1","5.16","15.95"%,
"AMERICAN JOURNAL OF PSYCHIATRY","0002-953X","1535-7228","PSYCHIATRY - SCIE","48,206","18.112","Q1","4.46","0"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","0033-3190","1423-0348","PSYCHIATRY - SCIE","6,123","17.659","Q1","2.81","18.52"%,
"MOLECULAR PSYCHIATRY","1359-4184","1476-5578","PSYCHIATRY - SCIE","28,622","15.992","Q1","3.21","42.45"%,
"BIOLOGICAL PSYCHIATRY","0006-3223","1873-2402","PSYCHIATRY - SCIE","50,155","13.382","Q1","2.91","19.58"%,
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","0022-3050","1468-330X","PSYCHIATRY - SCIE","37,094","10.154","Q1","2.59","28.48"%,
"BRITISH JOURNAL OF PSYCHIATRY","0007-1250","1472-1465","PSYCHIATRY - SCIE","30,003","9.319","Q1","2.07","27.8"%,
"SCHIZOPHRENIA BULLETIN","0586-7614","1745-1701","PSYCHIATRY - SCIE","21,642","9.306","Q1","2.3","23.83"%,
"JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY","0021-9630","1469-7610","PSYCHIATRY - SCIE","25,273","8.982","Q1","2.16","27.79"%,
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","0890-8567","1527-5418","PSYCHIATRY - SCIE","25,046","8.829","Q1","2.3","11.43"%,
"Evidence-Based Mental Health","1362-0347","1468-960X","PSYCHIATRY - SCIE","1,201","8.141","Q1","1.22","15.73"%,
