"Journal Data Filtered By:  Selected Categories: NURSING Selected Editions: SSCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"INTERNATIONAL JOURNAL OF NURSING STUDIES","0020-7489","1873-491X","NURSING - SSCI","14,846","5.837","Q1","2.38","13.28"%,
"European Journal of Cardiovascular Nursing","1474-5151","1873-1953","NURSING - SSCI","2,670","3.908","Q1","1.31","6.75"%,
"Journal of Family Nursing","1074-8407","1552-549X","NURSING - SSCI","1,174","3.818","Q1","1.32","9.33"%,
"BIRTH-ISSUES IN PERINATAL CARE","0730-7659","1523-536X","NURSING - SSCI","3,059","3.689","Q1","1.33","9.55"%,
"International Journal of Mental Health Nursing","1445-8330","1447-0349","NURSING - SSCI","3,269","3.503","Q1","1.4","7.94"%,
"NURSE EDUCATION TODAY","0260-6917","1532-2793","NURSING - SSCI","11,452","3.442","Q1","1.66","4.67"%,
"Journal of Nursing Management","0966-0429","1365-2834","NURSING - SSCI","5,861","3.325","Q1","1.36","7.93"%,
"NURSING OUTLOOK","0029-6554","1528-3968","NURSING - SSCI","2,751","3.25","Q1","1.69","2.36"%,
"JOURNAL OF ADVANCED NURSING","0309-2402","1365-2648","NURSING - SSCI","23,214","3.187","Q1","1.6","9.51"%,
"JOURNAL OF NURSING SCHOLARSHIP","1527-6546","1547-5069","NURSING - SSCI","4,200","3.176","Q1","1.75","5.56"%,
"Women and Birth","1871-5192","1878-1799","NURSING - SSCI","2,771","3.172","Q1","1.33","5.09"%,
"Intensive and Critical Care Nursing","0964-3397","1532-4036","NURSING - SSCI","2,222","3.072","Q1","1.54","5.99"%,
"JOURNAL OF CLINICAL NURSING","0962-1067","1365-2702","NURSING - SSCI","16,921","3.036","Q1","1.46","8.39"%,
"Journal of Psychiatric and Mental Health Nursing","1351-0126","1365-2850","NURSING - SSCI","3,537","2.952","Q1","0.96","10.09"%,
"Journal of Tissue Viability","0965-206X","1876-4746","NURSING - SSCI","955","2.932","Q1","1.6","12.31"%,
"Worldviews on Evidence-Based Nursing","1545-102X","1741-6787","NURSING - SSCI","1,952","2.931","Q1","1.38","10.26"%,
"NURSING ETHICS","0969-7330","1477-0989","NURSING - SSCI","3,775","2.874","Q1","1.56","7.86"%,
"INTERNATIONAL NURSING REVIEW","0020-8132","1466-7657","NURSING - SSCI","2,421","2.871","Q1","1.45","5.21"%,
"Journal of School Nursing","1059-8405","1546-8364","NURSING - SSCI","1,266","2.835","Q1","1.35","4.97"%,
"Australian Critical Care","1036-7314","1878-1721","NURSING - SSCI","1,194","2.737","Q1","1.07","6.28"%,
"CANCER NURSING","0162-220X","1538-9804","NURSING - SSCI","4,131","2.592","Q1","0.99","3"%,
"Collegian","1322-7696","1876-7575","NURSING - SSCI","1,416","2.573","Q1","1.23","5.79"%,
"EUROPEAN JOURNAL OF CANCER CARE","0961-5423","1365-2354","NURSING - SSCI","4,547","2.52","Q1","1","10.2"%,
"Asia-Pacific Journal of Oncology Nursing","2347-5625","2349-6673","NURSING - SSCI","603","2.509","Q1","1.08","100"%,
"European Journal of Oncology Nursing","1462-3889","1532-2122","NURSING - SSCI","3,404","2.398","Q1","0.98","6.6"%,
"Nursing Inquiry","1320-7881","1440-1800","NURSING - SSCI","1,370","2.393","Q1","1.33","11.54"%,
"Clinical Simulation in Nursing","1876-1399","1876-1402","NURSING - SSCI","2,008","2.391","Q1","1.28","5.47"%,
"JOURNAL OF MIDWIFERY & WOMENS HEALTH","1526-9523","1542-2011","NURSING - SSCI","2,622","2.388","Q1","1.06","5.66"%,
"Journal of the American Psychiatric Nurses Association","1078-3903","1532-5725","NURSING - SSCI","894","2.385","Q1","0.82","0.59"%,
"NURSING RESEARCH","0029-6562","1538-9847","NURSING - SSCI","5,060","2.381","Q1","1.22","1.09"%,
"MIDWIFERY","0266-6138","1532-3099","NURSING - SSCI","5,894","2.372","Q2","1.3","10.1"%,
"GERIATRIC NURSING","0197-4572","1528-3984","NURSING - SSCI","2,084","2.361","Q2","0.81","6.53"%,
"Advances in Skin & Wound Care","1527-7941","1538-8654","NURSING - SSCI","1,782","2.347","Q2","0.88","6.28"%,
"SCANDINAVIAN JOURNAL OF CARING SCIENCES","0283-9318","1471-6712","NURSING - SSCI","4,245","2.34","Q2","1.19","18.75"%,
"Nursing in Critical Care","1362-1017","1478-5153","NURSING - SSCI","1,171","2.325","Q2","1.79","6.63"%,
"Seminars in Oncology Nursing","0749-2081","1878-3449","NURSING - SSCI","1,412","2.315","Q2","0.65","2.14"%,
"BMC NURSING","1472-6955","1472-6955","NURSING - SSCI","1,761","2.283","Q2","1.25","100"%,
