"Journal Data Filtered By:  Selected Categories: IMMUNOLOGY Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"NATURE REVIEWS IMMUNOLOGY","1474-1733","1474-1741","IMMUNOLOGY - SCIE","55,784","53.106","Q1","5.66","0.54"%,
"IMMUNITY","1074-7613","1097-4180","IMMUNOLOGY - SCIE","70,517","31.745","Q1","5.56","12.71"%,
"Annual Review of Immunology","0732-0582","N/A","IMMUNOLOGY - SCIE","20,292","28.527","Q1","2.94","1.18"%,
"NATURE IMMUNOLOGY","1529-2908","1529-2916","IMMUNOLOGY - SCIE","54,588","25.606","Q1","4.92","0.25"%,
"Science Immunology","2470-9468","2470-9468","IMMUNOLOGY - SCIE","5,232","17.727","Q1","3.43","6.1"%,
"TRENDS IN IMMUNOLOGY","1471-4906","1471-4981","IMMUNOLOGY - SCIE","16,915","16.687","Q1","1.71","11.76"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","0022-1007","1540-9538","IMMUNOLOGY - SCIE","74,803","14.307","Q1","3.42","96.77"%,
"Journal for ImmunoTherapy of Cancer","N/A","2051-1426","IMMUNOLOGY - SCIE","11,042","13.751","Q1","2.29","98.89"%,
"ALLERGY","0105-4538","1398-9995","IMMUNOLOGY - SCIE","25,131","13.146","Q1","2.11","22.98"%,
"IMMUNOLOGICAL REVIEWS","0105-2896","1600-065X","IMMUNOLOGY - SCIE","19,337","12.988","Q1","1.6","16.92"%,
"Lancet HIV","2352-3018","2352-3018","IMMUNOLOGY - SCIE","5,368","12.767","Q1","2.99","12.81"%,
"Cellular & Molecular Immunology","1672-7681","2042-0226","IMMUNOLOGY - SCIE","8,489","11.53","Q1","1.5","25.15"%,
"Cancer Immunology Research","2326-6066","2326-6074","IMMUNOLOGY - SCIE","11,185","11.151","Q1","2.3","1.36"%,
"SEMINARS IN IMMUNOLOGY","1044-5323","1096-3618","IMMUNOLOGY - SCIE","6,814","11.13","Q1","1.03","19.57"%,
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","0091-6749","1097-6825","IMMUNOLOGY - SCIE","63,614","10.793","Q1","2.35","18.04"%,
"AUTOIMMUNITY REVIEWS","1568-9972","1873-0183","IMMUNOLOGY - SCIE","13,493","9.754","Q1","1.11","8.72"%,
"Seminars in Immunopathology","1863-2297","1863-2300","IMMUNOLOGY - SCIE","5,651","9.623","Q1","1.7","35.71"%,
"CLINICAL INFECTIOUS DISEASES","1058-4838","1537-6591","IMMUNOLOGY - SCIE","89,276","9.079","Q1","2.13","28.77"%,
"Journal of Allergy and Clinical Immunology-In Practice","2213-2198","2213-2201","IMMUNOLOGY - SCIE","9,255","8.861","Q1","1.55","9.93"%,
"CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY","1080-0549","1559-0267","IMMUNOLOGY - SCIE","4,546","8.667","Q1","1.27","7.84"%,
"Journal of Neuroinflammation","N/A","1742-2094","IMMUNOLOGY - SCIE","19,657","8.322","Q1","1.61","100"%,
"JOURNAL OF CLINICAL IMMUNOLOGY","0271-9142","1573-2592","IMMUNOLOGY - SCIE","6,537","8.317","Q1","1.3","16.87"%,
"OncoImmunology","2162-402X","2162-402X","IMMUNOLOGY - SCIE","14,987","8.11","Q1","1.52","31.29"%,
"Frontiers in Immunology","1664-3224","1664-3224","IMMUNOLOGY - SCIE","84,852","7.561","Q1","1.06","100"%,
"CURRENT OPINION IN IMMUNOLOGY","0952-7915","1879-0372","IMMUNOLOGY - SCIE","11,347","7.486","Q1","0.89","9.24"%,
"IMMUNOLOGY","0019-2805","1365-2567","IMMUNOLOGY - SCIE","14,248","7.397","Q1","0.95","20.62"%,
"Inflammation and Regeneration","N/A","1880-8190","IMMUNOLOGY - SCIE","743","7.354","Q1","0.81","100"%,
"Journal of Innate Immunity","1662-811X","1662-8128","IMMUNOLOGY - SCIE","3,032","7.349","Q1","1.1","68.55"%,
"npj Vaccines","N/A","2059-0105","IMMUNOLOGY - SCIE","1,342","7.344","Q1","1.62","100"%,
"Mucosal Immunology","1933-0219","1935-3456","IMMUNOLOGY - SCIE","9,440","7.313","Q1","1.67","24.38"%,
"BRAIN BEHAVIOR AND IMMUNITY","0889-1591","1090-2139","IMMUNOLOGY - SCIE","24,161","7.217","Q1","1.78","14.06"%,
"Emerging Microbes & Infections","N/A","2222-1751","IMMUNOLOGY - SCIE","8,988","7.163","Q1","1.37","99.67"%,
"JOURNAL OF AUTOIMMUNITY","0896-8411","1095-9157","IMMUNOLOGY - SCIE","10,437","7.094","Q1","1.5","16.49"%,
"CANCER IMMUNOLOGY IMMUNOTHERAPY","0340-7004","1432-0851","IMMUNOLOGY - SCIE","11,382","6.968","Q1","1.34","24.67"%,
