"Journal Data Filtered By:  Selected Categories: CARDIAC & CARDIOVASCULAR SYSTEMS Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"CorSalud","2078-7170","2078-7170","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","181","n/a","n/a","0.04","100"%,
"Turk Kardiyoloji Dernegi Arsivi-Archives of the Turkish Society of Cardiology","1016-5169","1016-5169","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","865","n/a","n/a","0.15","100"%,
"Open Heart","2053-3624","2053-3624","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,096","n/a","n/a","0.52","99.77"%,
"COR ET VASA","0010-8650","1803-7712","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","256","n/a","n/a","0.05","51.47"%,
"Cardiogenetics","2035-8253","2035-8148","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","29","n/a","n/a","0.07","100"%,
"Future Cardiology","1479-6678","1744-8298","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","920","n/a","n/a","0.27","7.14"%,
"Cardiology Research","1923-2829","1923-2837","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","426","n/a","n/a","0.24","96.26"%,
"ARYA Atherosclerosis","1735-3955","2251-6638","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","600","n/a","n/a","0.23","100"%,
"Aktuelle Kardiologie","2193-5203","2193-5211","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","15","n/a","n/a","0.01","0"%,
"Indian Heart Journal","0019-4832","2213-3763","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,934","n/a","n/a","0.32","100"%,
"Iranian Heart Journal","1735-7306","1735-7306","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","32","n/a","n/a","0.04","0"%,
"Journal of Arrhythmia","1880-4276","1883-2148","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","879","n/a","n/a","0.29","100"%,
"Cardiology and Therapy","2193-8261","2193-6544","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","337","n/a","n/a","0.49","100"%,
"Egyptian Heart Journal","1110-2608","2090-911X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","257","n/a","n/a","0.16","100"%,
"Insuficiencia Cardiaca","1850-1044","1852-3862","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","29","n/a","n/a","0.01","0"%,
"Journal fur Hypertonie","1028-2327","1680-9378","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","6","n/a","n/a","0.02","0"%,
"Nepalese Heart Journal","2091-2978","2091-2978","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","44","n/a","n/a","0.05","95.24"%,
"Pakistan Heart Journal","0048-2706","2227-9199","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","59","n/a","n/a","0.02","100"%,
"IJC Heart & Vasculature","N/A","2352-9067","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","984","n/a","n/a","0.64","100"%,
"Journal fur Kardiologie","1024-0098","1680-936X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","53","n/a","n/a","0.03","0"%,
"CURRENT CARDIOLOGY REVIEWS","1573-403X","1875-6557","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,607","n/a","n/a","0.41","0"%,
"Case Reports in Cardiology","2090-6404","2090-6412","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","488","n/a","n/a","0.13","100"%,
"Echo Research and Practice","2055-0464","2055-0464","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","382","n/a","n/a","0.33","100"%,
"European Cardiology Review","1758-3756","1758-3756","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","433","n/a","n/a","0.76","76.25"%,
"JRSM Cardiovascular Disease","N/A","2048-0040","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","325","n/a","n/a","0.35","100"%,
"Journal of Echocardiography","1349-0222","1880-344X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","241","n/a","n/a","0.37","13.54"%,
"World Journal of Cardiology","1949-8462","1949-8462","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,775","n/a","n/a","0.36","97.17"%,
"Annals of Pediatric Cardiology","0974-2069","0974-5149","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","630","n/a","n/a","0.21","100"%,
"Giornale Italiano di Cardiologia","1827-6806","1972-6481","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","553","n/a","n/a","0.1","0"%,
"Current Cardiovascular Risk Reports","1932-9520","1932-9563","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","482","n/a","n/a","0.14","7.29"%,
"Journal of Cardiovascular Echography","2211-4122","2347-193X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","159","n/a","n/a","0.12","0"%,
"Open Cardiovascular Medicine Journal","N/A","1874-1924","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","374","n/a","n/a","0.27","100"%,
"Arrhythmia & Electrophysiology Review","2050-3369","2050-3377","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","605","n/a","n/a","0.64","64.71"%,
"Clinical Medicine Insights-Cardiology","1179-5468","1179-5468","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","541","n/a","n/a","0.45","100"%,
