"Journal Data Filtered By:  Selected Categories: SUBSTANCE ABUSE Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"TOBACCO CONTROL","0964-4563","1468-3318","SUBSTANCE ABUSE - SCIE","10,279","7.552","Q1","2.49","23.36"%,
"ADDICTION","0965-2140","1360-0443","SUBSTANCE ABUSE - SCIE","23,843","6.526","Q1","1.92","24.75"%,
"DRUG AND ALCOHOL DEPENDENCE","0376-8716","1879-0046","SUBSTANCE ABUSE - SCIE","25,688","4.492","Q1","1.25","7.1"%,
"ADDICTION BIOLOGY","1355-6215","1369-1600","SUBSTANCE ABUSE - SCIE","5,483","4.28","Q1","1.32","11.28"%,
"NICOTINE & TOBACCO RESEARCH","1462-2203","1469-994X","SUBSTANCE ABUSE - SCIE","11,360","4.244","Q1","1.5","14.42"%,
"ADDICTIVE BEHAVIORS","0306-4603","1873-6327","SUBSTANCE ABUSE - SCIE","17,650","3.913","Q2","1.3","2.93"%,
"International Journal of Mental Health and Addiction","1557-1874","1557-1882","SUBSTANCE ABUSE - SCIE","3,487","3.836","Q2","0.83","23.29"%,
"AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE","0095-2990","1097-9891","SUBSTANCE ABUSE - SCIE","3,545","3.829","Q2","1.17","3.24"%,
"Substance Abuse","0889-7077","1547-0164","SUBSTANCE ABUSE - SCIE","2,306","3.716","Q2","0.81","4.53"%,
"Journal of Addiction Medicine","1932-0620","1935-3227","SUBSTANCE ABUSE - SCIE","2,391","3.702","Q2","0.97","5.84"%,
"Addiction Science & Clinical Practice","1940-0640","1940-0640","SUBSTANCE ABUSE - SCIE","984","3.544","Q3","0.85","100"%,
"ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH","0145-6008","1530-0277","SUBSTANCE ABUSE - SCIE","16,906","3.455","Q3","1","7.15"%,
"EUROPEAN ADDICTION RESEARCH","1022-6877","1421-9891","SUBSTANCE ABUSE - SCIE","1,502","3.015","Q3","0.71","19.64"%,
"Adicciones","0214-4840","N/A","SUBSTANCE ABUSE - SCIE","824","2.979","Q3","0.81","0"%,
"ALCOHOL AND ALCOHOLISM","0735-0414","1464-3502","SUBSTANCE ABUSE - SCIE","5,400","2.826","Q3","0.75","7.12"%,
"Tobacco Induced Diseases","1617-9625","N/A","SUBSTANCE ABUSE - SCIE","1,355","2.6","Q4","0.61","100"%,
"Journal of Studies on Alcohol and Drugs","1937-1888","1938-4114","SUBSTANCE ABUSE - SCIE","7,963","2.582","Q4","0.89","0.35"%,
"ALCOHOL","0741-8329","1873-6823","SUBSTANCE ABUSE - SCIE","3,671","2.405","Q4","0.83","5.42"%,
"SUBSTANCE USE & MISUSE","1082-6084","1532-2491","SUBSTANCE ABUSE - SCIE","5,705","2.164","Q4","0.61","2.72"%,
"JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE","1533-2640","1533-2659","SUBSTANCE ABUSE - SCIE","663","1.507","Q4","0.46","1.57"%,
"Journal of Addictions Nursing","1088-4602","1548-7148","SUBSTANCE ABUSE - SCIE","408","1.476","Q4","0.46","1.96"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
