"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Pharmacy","N/A","2226-4787","PHARMACOLOGY & PHARMACY - ESCI","1,017","n/a","n/a","0.49","100"%,
"PHARMACIA","0428-0296","2603-557X","PHARMACOLOGY & PHARMACY - ESCI","121","n/a","n/a","0.19","100"%,
"Core Evidence","1555-1741","1555-175X","PHARMACOLOGY & PHARMACY - ESCI","225","n/a","n/a","0.72","83.33"%,
"Drug Research","2194-9379","2194-9387","PHARMACOLOGY & PHARMACY - ESCI","1,178","n/a","n/a","0.59","0.35"%,
"Pharmacophore","2229-5402","2229-5402","PHARMACOLOGY & PHARMACY - ESCI","379","n/a","n/a","0.32","0"%,
"US PHARMACIST","0148-4818","2331-3501","PHARMACOLOGY & PHARMACY - ESCI","325","n/a","n/a","0.04","0"%,
"ADMET and DMPK","1848-7718","1848-7718","PHARMACOLOGY & PHARMACY - ESCI","212","n/a","n/a","0.41","100"%,
"Ars Pharmaceutica","0004-2927","2340-9894","PHARMACOLOGY & PHARMACY - ESCI","157","n/a","n/a","0.07","100"%,
"HOSPITAL PHARMACY","0018-5787","1945-1253","PHARMACOLOGY & PHARMACY - ESCI","957","n/a","n/a","0.23","0"%,
"Current Drug Safety","1574-8863","2212-3911","PHARMACOLOGY & PHARMACY - ESCI","748","n/a","n/a","0.35","0"%,
"Current Drug Therapy","1574-8855","1065-7630","PHARMACOLOGY & PHARMACY - ESCI","180","n/a","n/a","0.16","0"%,
"Drug Target Insights","1177-3928","1177-3928","PHARMACOLOGY & PHARMACY - ESCI","187","n/a","n/a","0.58","100"%,
"Therapeutic Delivery","2041-5990","2041-6008","PHARMACOLOGY & PHARMACY - ESCI","2,598","n/a","n/a","0.66","5.37"%,
"Advanced Therapeutics","N/A","2366-3987","PHARMACOLOGY & PHARMACY - ESCI","1,231","n/a","n/a","1.45","12.57"%,
"Australian Prescriber","0312-8008","1839-3942","PHARMACOLOGY & PHARMACY - ESCI","883","n/a","n/a","0.89","100"%,
"CONSULTANT PHARMACIST","0888-5109","2331-0936","PHARMACOLOGY & PHARMACY - ESCI","439","n/a","n/a","0.23","0"%,
"FARMACIA HOSPITALARIA","1130-6343","2171-8695","PHARMACOLOGY & PHARMACY - ESCI","408","n/a","n/a","0.26","100"%,
"Pharmacoeconomics-Open","2509-4262","2509-4254","PHARMACOLOGY & PHARMACY - ESCI","340","n/a","n/a","0.66","100"%,
"Pharmacognosy Research","0974-8490","0976-4836","PHARMACOLOGY & PHARMACY - ESCI","1,390","n/a","n/a","0.39","0"%,
"SCIENTIA PHARMACEUTICA","N/A","2218-0532","PHARMACOLOGY & PHARMACY - ESCI","1,556","n/a","n/a","0.74","100"%,
"Senior Care Pharmacist","2639-9636","2639-9644","PHARMACOLOGY & PHARMACY - ESCI","38","n/a","n/a","0.2","0"%,
"Pharmaceutical Medicine","1178-2595","1179-1993","PHARMACOLOGY & PHARMACY - ESCI","201","n/a","n/a","0.36","23.76"%,
"Pharmaceutical Sciences","1735-403X","2383-2886","PHARMACOLOGY & PHARMACY - ESCI","216","n/a","n/a","0.29","100"%,
"Journal of Drug Delivery","2090-3014","2090-3022","PHARMACOLOGY & PHARMACY - ESCI","930","n/a","n/a","0.56","100"%,
"Journal of Pharmaceutics","2090-9918","2090-7818","PHARMACOLOGY & PHARMACY - ESCI","292","n/a","n/a","0.53","100"%,
"Pharmacy Practice-Granada","1885-642X","1886-3655","PHARMACOLOGY & PHARMACY - ESCI","463","n/a","n/a","0.54","100"%,
"SA Pharmaceutical Journal","2221-5875","2220-1017","PHARMACOLOGY & PHARMACY - ESCI","69","n/a","n/a","0.02","0"%,
"Actualites Pharmaceutiques","0515-3700","0515-3700","PHARMACOLOGY & PHARMACY - ESCI","32","n/a","n/a","0.02","0"%,
"JOURNAL OF DRUG ASSESSMENT","1369-9474","2155-6660","PHARMACOLOGY & PHARMACY - ESCI","133","n/a","n/a","0.64","100"%,
"Pharmaceutical Care Espana","1139-6202","1139-6202","PHARMACOLOGY & PHARMACY - ESCI","34","n/a","n/a","0.03","0"%,
